,Original Network,Gene,ImportanceScore,Zscore,Pvalue,NegativeLog10Pvalue
0,hsa04151,RAF1,0.13276078336271613,-0.21056603964724643,0.583387042717335,0.23404322097851915
1,hsa04151,IRS1,0.46449435804979783,-0.6928206468517216,0.7557889433109057,0.1215994658116817
2,hsa04151,CD19,0.8679031455200844,3.7174487791431408,0.00010062238569431099,3.9973053900355926
3,hsa04151,RAC1,0.7390432964984632,0.9280580621476043,0.1766887261008941,0.7527911604444102
4,hsa04151,THEM4,0.38273342657181764,-0.07286057453077811,0.5290414662565887,0.2765102866403384
5,hsa04151,CDKN1B,0.13291864646253101,-0.6653835111907636,0.7470973857356435,0.12662278328376575
6,hsa04151,CRTC2,0.21533095153215956,-1.0119136098852461,0.8442103193407893,0.07354934348062682
7,hsa04151,TP53,0.13281707430384174,0.2006112014373461,0.420501299326632,0.37623265791716376
8,hsa04151,RBL2,0.1330346178332,0.35896525778420957,0.3598105398719276,0.44392611908614604
9,hsa04151,MYB,0.13268147031194782,-0.6628174832328871,0.746276272504207,0.12710036634464203
10,hsa04151,EIF4B,0.1326301193178668,0.7967665878668354,0.21279330165964122,0.6720420469504906
11,hsa04151,PTK2,0.37257428363443534,-0.5779514550886147,0.7183515528177928,0.14366296511216564
12,hsa04151,TSC2,0.5837435352050192,1.0953716448551376,0.136676925655294,0.8643047985735786
13,hsa04151,BRCA1,0.13303762092972024,-0.3141866225605002,0.623310348855008,0.2052956624336664
14,hsa04151,MYC,0.13297063818241678,-0.045593231499615076,0.5181827679776493,0.28551703345102947
15,hsa04151,GRB2,0.22316039587913916,-0.5213632533616205,0.6989431275438416,0.15555816101932549
16,hsa04151,PTEN,0.3701446122543368,-0.27562873218710016,0.6085833804524479,0.21567991178124696
17,hsa04151,EIF4EBP1,0.2647426251151516,0.4671432631784874,0.320198691534627,0.4945804471214421
18,hsa04151,PDPK1,0.22616284678250956,-1.1647818779457728,0.8779463519084836,0.0565320214309774
19,hsa04151,G6PC,0.1328417495838816,-0.09046328130231936,0.5360404642229223,0.2708024253717271
20,hsa04151,PIK3AP1,0.5590683578769385,1.3847282723287995,0.08306778534310161,1.0805673680359251
21,hsa04151,BCL2L1,0.13297142563932193,-1.4331023591035517,0.9240857063163814,0.03428774733605314
22,hsa04151,STK11,0.48243181443672917,2.021147607351091,0.021632243693067828,1.6648984332662637
23,hsa04151,CDC37,0.13265780747650027,-0.9892623049854887,0.8387325891131472,0.07637648206058743
24,hsa04151,SYK,1.0,4.710239776765194,1.2371276406223734e-06,5.907585489733705
25,hsa04151,NR4A1,0.13277632218624177,-0.751508355009754,0.7738266127792142,0.11135633847569931
26,hsa04151,NOS3,0.1329973628068247,-0.8340620296917959,0.7978769848150145,0.09806406220100881
27,hsa04151,DDIT4,0.1676776790004118,0.02121106993056087,0.4915386418711215,0.3084423348171311
28,hsa04151,TSC1,0.1326676433512594,-0.7297043817493188,0.7672145489106829,0.11508317010783467
29,hsa04151,MDM2,0.2647939223078291,-0.016776608510324555,0.50669258451193,0.2952554515986431
30,hsa04151,CCND1,0.13264887644352646,-0.15472784265365538,0.5614820604690497,0.2506641150281003
31,hsa04151,CASP9,0.13261655158212246,-0.5760471613865074,0.717708347668282,0.14405200245768213
32,hsa04151,MCL1,0.13273106053282474,-0.688531623470176,0.7544409684526892,0.12237473611134823
33,hsa04151,BAD,0.13289615747588618,-0.02957309723096927,0.5117962393870609,0.29090290957710285
34,hsa04151,CDKN1A,0.13261790639928225,-0.3131428895482744,0.6229139473351519,0.20557194496005246
35,hsa04151,RHEB,0.4519376338239603,2.8094021685057307,0.002481680080481203,2.605254205205051
36,hsa04151,GSK3B,0.3967253081258956,0.15952857748134175,0.43662622251953465,0.3598901853617526
37,hsa04151,BCL2L11,0.1327882025143322,0.2733155933411568,0.3923053148772483,0.40637580809216894
38,hsa04151,EIF4E,0.13289215660788364,-0.21799755397118062,0.5862844913767832,0.2318915937881972
39,hsa04151,FOXO3,0.5664344205180203,0.7093050200962232,0.23906760691246165,0.6214792657588644
40,hsa04151,BCL2,0.13287026921875025,-1.1505049731930062,0.8750320264642877,0.057976051363770854
41,hsa04670,RASSF5,0.46373267036138416,0.6009233697187342,0.27394551350354523,0.5623358077556762
42,hsa04670,RAC1,0.6506546651489693,-0.029528372469319327,0.511778404577447,0.2909180439094108
43,hsa04670,PECAM1,0.17598521843272158,0.16164377109321798,0.43579319310338616,0.36071955752419504
44,hsa04670,CXCR4,0.879367912952556,1.0537184332838745,0.14600592349109653,0.835629524439454
45,hsa04670,ITGB1,0.13046428583091077,-0.3711544041357418,0.644738734190669,0.19061623774616662
46,hsa04670,ITGA4,0.13052629182928063,-0.45734083412794513,0.6762869581361035,0.16986898765101016
47,hsa04670,ITGAL,0.13048372471621608,-1.0203133634144774,0.8462100662298462,0.07252181275316011
48,hsa04670,PTK2,0.1304942822079379,-0.5856579907674908,0.7209473150908544,0.14209647120475102
49,hsa04670,SIPA1,0.13028481328801347,-0.3823408832475271,0.6488957332175157,0.18782508151420135
50,hsa04670,RHOA,0.4081512861977355,-1.1384686710610827,0.8725375832219964,0.05921585739526557
51,hsa04670,PXN,0.13043793063259781,0.18686419346986824,0.42588355705660147,0.3707091272834652
52,hsa04670,NCF1,0.13040805466491967,-0.028819411431708554,0.5114956903871898,0.291158021089548
53,hsa04670,F11R,0.6191739442799667,0.38093427792140455,0.35162600829855284,0.45391900947197616
54,hsa04670,RAC2,0.13046300467543717,-1.0892937424648825,0.8619878143276967,0.06449887362731317
