,index,nodeModulation,Contrast,Pathway
67,CRK,28.184199943487606,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
68,CSF1,0.11116943488403505,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
69,CSF2RB,16.439112797575817,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
70,CSNK2B,28.35155099977345,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
71,CTF1,0.7492802527394635,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
72,CXCL16,1.172058491175489,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
73,CXCR1,234.45466501832078,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
74,CXCR2,0.38612073501586547,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
75,CXCR3,0.25998277585814256,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
76,CXCR4,5.218170803539518,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
77,CXCR5,21.112639890541512,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
78,CYBA,2.66715850084709,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
79,CYLD,22.146517610995417,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
80,DAB2IP,0.06527445452839674,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
81,DAXX,7.38475939427197,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
82,DDIT4,9.232713311281492,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
83,DDX58,0.36028260222685066,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
84,DEPTOR,0.3076696498911975,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
85,DIAPH1,0.08935305716816795,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
86,DIAPH2,3.239171530245815,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
87,DIAPH3,1192.3481420656476,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
88,DNM1L,60.68165962392932,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
89,DOCK2,15.636112650637317,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
90,ECSIT,0.8393203467292673,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
