,index,ImportanceScore,Pathway
132,NCF1,0.06231034773357381,metaNetwork
133,PTK2B,0.0894237293292197,metaNetwork
134,DOCK2,0.06498331221874677,metaNetwork
135,PREX1,0.0790909672256735,metaNetwork
136,FOXO3,0.20856547523038618,metaNetwork
137,BAD,0.06179911881297608,metaNetwork
138,CXCR2,0.06280562830745752,metaNetwork
139,CXCR1,0.06184314304015948,metaNetwork
140,CXCR3,0.06136561560771538,metaNetwork
141,CXCR4,0.06576339788813762,metaNetwork
142,CXCR5,0.06303509187207597,metaNetwork
143,CCR9,0.062420511483567906,metaNetwork
144,CCR10,0.06160031699698338,metaNetwork
145,CXCL16,0.2660834349999263,metaNetwork
146,CCL5,0.23696957370532798,metaNetwork
147,JAK2,0.06256602018314857,metaNetwork
148,JAK3,0.07215799131689828,metaNetwork
149,LYN,0.8824058650900457,metaNetwork
150,HCK,0.06422176691951259,metaNetwork
151,FGR,0.10943796075277916,metaNetwork
152,SRC,0.17335113628291737,metaNetwork
153,PLCG1,0.37339191809967354,metaNetwork
154,PLCG2,0.2882300296099267,metaNetwork
155,SHC1,0.0893837018265972,metaNetwork
156,SHC4,0.06190097713802332,metaNetwork
157,GNB1,0.12217354672957506,metaNetwork
158,GNB2,0.36235775756258076,metaNetwork
159,GNB3,0.06213293229772958,metaNetwork
160,GNB4,0.06325900693206968,metaNetwork
161,GNB5,0.06205836813179597,metaNetwork
162,GNG2,0.06119376876216687,metaNetwork
163,GNG3,0.06521159591217687,metaNetwork
164,GNG5,0.29331182066830813,metaNetwork
165,GNG7,0.06767442831915445,metaNetwork
166,GNG10,0.06137196203181761,metaNetwork
167,GNGT2,0.07924088149040813,metaNetwork
168,ROCK1,0.4281075895237516,metaNetwork
169,ROCK2,0.4663986573820059,metaNetwork
170,PRKCD,0.8475560421952234,metaNetwork
171,STAT1,0.17800790579654954,metaNetwork
172,STAT2,0.17902317005187524,metaNetwork
173,STAT3,0.10342398884515949,metaNetwork
174,STAT5B,0.17401987152791462,metaNetwork
175,NFKBIA,0.0637433479424473,metaNetwork
176,NFKBIB,0.32639104825599996,metaNetwork
177,GSK3B,0.11196144573080519,metaNetwork
178,PIK3CG,0.07875163504083936,metaNetwork
179,BCL2L1,0.063046323325736,metaNetwork
180,BCL2,0.06225707016735868,metaNetwork
181,RIPK1,0.2555640407292595,metaNetwork
182,TRAF3,0.1528101830832298,metaNetwork
183,TNFSF13B,0.230021516373315,metaNetwork
184,TNFRSF13C,0.19328364105506712,metaNetwork
185,PRKCQ,0.10214194314439963,metaNetwork
186,BCL10,0.7605640050318389,metaNetwork
187,MALT1,0.5770747141197217,metaNetwork
188,TNFAIP3,0.0635611670191838,metaNetwork
189,TLR4,0.17230637233222038,metaNetwork
190,DDX58,0.06278735067083561,metaNetwork
191,TIRAP,0.07333280253600163,metaNetwork
192,ZAP70,0.10689803046966363,metaNetwork
193,LAT,0.06347992955105101,metaNetwork
194,PLAU,0.06298316360940273,metaNetwork
195,BCL2A1,0.061877176589809034,metaNetwork
196,SYK,0.4080662858553466,metaNetwork
197,BTK,0.3953255394809231,metaNetwork
198,BLNK,0.06334763916674445,metaNetwork
199,PIAS4,0.23516406205091206,metaNetwork
200,CFLAR,0.06802598036703794,metaNetwork
201,XIAP,0.06297436576155464,metaNetwork
202,TRIM25,0.1052638431093883,metaNetwork
203,TRAF5,0.06279881019404991,metaNetwork
204,ICAM1,1.0,metaNetwork
205,LTA,0.0787942069444264,metaNetwork
206,CYLD,0.11757535642740709,metaNetwork
207,CARD10,0.06262633939685153,metaNetwork
208,CARD11,0.0625050365224914,metaNetwork
209,TRAF1,0.062464817234107406,metaNetwork
210,CSNK2B,0.06210628282386168,metaNetwork
211,RBX1,0.06215398370072024,metaNetwork
212,ELOB,0.06224034139513864,metaNetwork
213,ELOC,0.06233958080786112,metaNetwork
214,VHL,0.06318333416668341,metaNetwork
215,ARNT,0.3743142459554125,metaNetwork
216,EP300,0.27385746792817717,metaNetwork
217,HIF1A,0.17505738746705268,metaNetwork
218,SLC2A1,0.06252481475311238,metaNetwork
219,MTOR,0.5736812578269685,metaNetwork
220,PDK1,0.10692864329996171,metaNetwork
221,GAPDH,0.06172667141759297,metaNetwork
222,PFKFB3,0.06246697417599982,metaNetwork
223,TF,0.06098849288087258,metaNetwork
224,TFRC,0.06284391677972877,metaNetwork
225,NOS3,0.06192419034234293,metaNetwork
226,HMOX1,0.061586989506368775,metaNetwork
227,IFNG,0.08292569210325469,metaNetwork
228,EIF4EBP1,0.10551980971685408,metaNetwork
229,EIF4E,0.06280854558918497,metaNetwork
230,PDHB,0.06309939387995518,metaNetwork
231,IFNGR1,0.07014841669654462,metaNetwork
232,IFNGR2,0.06194372106566354,metaNetwork
233,CDKN1A,0.12547610823400682,metaNetwork
234,CDKN1B,0.19547737600916207,metaNetwork
235,IRS1,0.06248975521443108,metaNetwork
236,PDPK1,0.25084323356109506,metaNetwork
237,RHEB,0.08126015230644218,metaNetwork
238,SGK1,0.06316674178264853,metaNetwork
239,TBC1D7,0.08640234713272206,metaNetwork
240,DDIT4,0.06548847235104915,metaNetwork
241,SLC38A9,0.2812154903268087,metaNetwork
242,DEPTOR,0.0632557089944811,metaNetwork
243,MLST8,0.08707586471118527,metaNetwork
244,AKT1S1,0.06251754082455865,metaNetwork
245,TTI1,0.06228568285358293,metaNetwork
246,TELO2,0.07524893440348293,metaNetwork
247,RICTOR,0.10681925382018731,metaNetwork
248,MAPKAP1,0.0620454397629013,metaNetwork
249,CLIP1,0.061265357333134776,metaNetwork
250,TSC1,0.0991411931435017,metaNetwork
251,TSC2,0.08864008525644239,metaNetwork
252,ULK1,0.062278775326543225,metaNetwork
253,LAMTOR1,0.06285204791288558,metaNetwork
254,LAMTOR2,0.06247002978968704,metaNetwork
255,LAMTOR4,0.061350254604896105,metaNetwork
256,LAMTOR5,0.06133628275299814,metaNetwork
257,RBL2,0.06206362895777845,metaNetwork
258,BCL2L11,0.06245351450871169,metaNetwork
259,MDM2,0.10631593509036556,metaNetwork
260,CCND1,0.0625161639842098,metaNetwork
261,G6PC,0.06278640308071319,metaNetwork
262,CD19,0.06263145638351283,metaNetwork
263,MCL1,0.061933583633146626,metaNetwork
264,MYB,0.06284185864637905,metaNetwork
265,RXRA,0.061134824769000666,metaNetwork
266,F2R,0.06429170619772379,metaNetwork
267,LPAR2,0.13585346214692232,metaNetwork
268,LPAR3,0.06115256398005555,metaNetwork
269,LPAR5,0.17080347074874047,metaNetwork
270,YWHAE,0.29607757803770873,metaNetwork
271,CDK2,0.06275269705708547,metaNetwork
272,CDK4,0.0623956188579852,metaNetwork
273,CDK6,0.061325949647170475,metaNetwork
274,ITGA3,0.06631088889597556,metaNetwork
275,ITGA4,0.06232905462042219,metaNetwork
276,ITGA6,0.06183650666967797,metaNetwork
277,ITGAV,0.0796510483856239,metaNetwork
278,ITGA7,0.10360817963136994,metaNetwork
279,ITGA10,0.12069828918463864,metaNetwork
280,ITGA11,0.07165981808243221,metaNetwork
281,ITGB1,0.062279497762773334,metaNetwork
282,ITGB4,0.06360682790458903,metaNetwork
283,ITGB7,0.06268270400111012,metaNetwork
284,THBS1,0.16758757859058956,metaNetwork
285,LAMC1,0.2580293209963961,metaNetwork
286,FN1,0.1223073364120308,metaNetwork
287,LAMB4,0.08992547424953187,metaNetwork
288,VTN,0.10686127271989777,metaNetwork
