,Target
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,0
HSP90AA1,1
