,0
UBA52,-1.1895610256087608
ALB,-1.8662076596051875
LCE3D,-1.0839771301652341
MANBA,-0.9219806658982193
TRAM1,-0.19719923179316012
FLG,-1.1389588932697636
LYZ,-1.3006125756790077
MAP1LC3B2,-0.17785519717130605
PFKFB1,-0.27280826139636805
FLG2,-1.2526956500445472
RLF,-0.2113870762917287
DAP,-0.45506195751462464
HRNR,-1.4679735331788892
SLC25A4,-0.23185588548895453
BNIP3,0.0312555520984823
PPP1CB,-0.42975760035806765
DCD,-1.2990713115748065
HBB,-0.35475437145548216
IGHA1,-1.3774525988437194
TEAD2,-0.19782959775787923
PIGR,-0.9970401471725125
KDM3A,0.145851237691919
C2ORF49,-0.22492917233772403
HLA-DRA,-0.15024623447495422
BIVM-ERCC5,-0.3595695589962953
MON1B,-0.3717811967536049
CACFD1,1.0121479766939123
HSH2D,-0.4286781417627261
ANKZF1,0.1711643762498607
MINDY2,0.9082724862447735
BAD,0.17487859646944415
SNX19,0.8409881476962997
JMY,-0.26133517274782925
IGKC,-0.5434509173980508
GCSAM,-0.25354087406460124
PRR14L,-0.3389973368944137
PLOD1,0.06907744198796273
UQCRH,-0.0213140060680157
MICU1,-0.01879567615698363
KDM4C,0.04886746646757789
GTPBP6,1.025406373882031
DSC1,-0.9972153373018564
CKS2,-0.16483207235584985
TTF1,0.7274525865113983
C14ORF1,-0.5432709488621947
DDHD2,-0.4035718226722169
GTF3A,-0.8339252921261409
LMAN2,0.04144726186620318
DOPEY1,0.0008849498350684826
MSL1,-0.6038794455126681
NACAP1,-0.5139859362895631
TMSB4X,-0.5001416751161187
PIK3IP1,-0.3259622611522879
XPR1,-0.14487983537717453
ALDOC,-0.05142308705937637
RNF213,0.09002629351598435
SERPINB12,-1.106912594564661
OGFOD2,0.7650734227964593
COA6,-0.29682296083296844
CCNY,0.36704872214045237
IGHG1,-0.258749139864479
SRP9,-0.13358736758931578
LTF,-0.6001854824078059
LAMTOR2,-0.018024373453705778
NCCRP1,-0.7358484695548171
PSMD4,-0.19390158186182127
CSNK1E,-0.09939613906885336
XP32,-0.9187740892042697
CAMK4,-0.7300581068168244
PEA15,-0.08622489197064542
TUBA4A,-0.18507889332792615
FAM162A,0.10979506125133831
EEFSEC,-0.6553507142307873
P4HA1,-0.08502969125863125
CBL,-0.021011183771604713
AGTRAP,-0.13068999052055208
CENPN,-1.0107899138518768
UNK,0.9779089268602772
BCAS2,-0.3116913030717363
SPG7,-0.1188581655085752
MCRIP2,-0.4379324292398348
RPS23,-0.2582776908705977
EGLN1,0.017907369342895052
RSPRY1,-0.5166141464139948
NARF,0.4183375436803696
DYNLL2,0.19415537307395114
PKP1,-0.4721084408474949
FAM160A2,-0.3799745907749559
KDM5C,-0.08138031788380751
DBI,-0.20532543987587815
RGCC,0.5480758306883327
DGKZ,-0.36950688947392774
PBX2,0.9607075634865254
WDR41,-0.2077327558458819
LMCD1,0.34651322148781727
SUN2,-0.1944111622419742
KDM4A,0.44665579399349564
WDR5,-0.13613068197104017
UNC93B1,0.24792038033063335
GLA,-0.06556819216270426
K7EQG2_106,-0.13165387458694333
DSG1,-0.8564238071712111
CYP51A1,0.13452763552519542
ZBTB44,0.04361505850909797
DHX35,0.8597044750081562
NME1,-0.1272708108172207
ARCN1,-0.12126706864354198
SLC2A1,0.048194083943057464
HCCS,-0.14090813070827046
TXNDC12,0.04821040951615174
TRMT61A,-0.47270139885266715
GAB1,0.8234051923113568
RPTOR,-0.37779541719743737
TCP11L1,0.2627685181339059
BRI3BP,-0.16332551961846065
SYS1,-0.25385706105551886
GBE1,-0.05451010253329969
CENPA,-0.2506474177204332
AZGP1,-0.883876357949942
HK2,-0.00041112438004553553
NUCB2,-0.03435645895800121
MRPL39,-0.1357423991765092
SP4,0.05653416988569937
SSBP3,-0.1642732261627149
GSDMA,-0.3763058743299732
EIF4ENIF1,0.19071153390197537
IFRD2,-0.11076321511889908
S100A7,0.035775345502463196
MBOAT7,0.05088511992036704
RNF170,-0.44162179784682953
RNPC3,-0.618930754703086
CALU,-0.03428381711691131
JUP,-0.6806774350921057
RPS12,-0.3104887863452017
RFC5,-0.02913573610212339
RPL35A,-0.14106153929830256
SLC27A4,-0.18512366880628406
ATP6V0D1,-0.29410544104441083
KMT2B,0.004797012105791865
TOR4A,0.8683801275529289
ATG5,0.35322400564964695
CCDC97,-0.02948980202700824
N4BP3,-0.3409438580861881
CAMK2B,-0.1900342480285655
APIP,-0.13039940709869846
H2AFY2,0.0012088207433444964
COMTD1,-0.0355423281283489
TAF15,-0.024784995029703438
EPN1,-0.06673529831116198
DERL2,-0.6299867869994218
CST4,-0.9858331201603283
MAPK3,-0.014186777704109588
TGM1,-0.850425419226922
MRPL48,-0.15852246853043273
KDELR1,-0.07775947547244666
TRAFD1,0.5507426381832108
MAN1B1,-0.21757865866244863
ME1,-0.42322716972340846
TMED7,-0.04632957323333997
TGM3,-0.7719980948271763
ABCC4,-0.1541574976271649
RASA4B,-0.1237694663181701
ATP6V0A1,0.0013113870897143443
GTF3C3,-0.04961056412488141
SMAD3,-0.07084324251867002
TOX4,-0.3749628882248075
STIM1,-0.20938154883101223
TWISTNB,-0.4251028523757716
MRS2,-0.09816857328801731
CALML3,0.3812944023407958
RBPJL,-0.06294025025035843
XPO6,-0.1462081794480108
NDUFB4,-0.17006895460844174
DNAJC21,0.02119472034412695
C8ORF37,-0.27076021387535576
INTS9,-0.10450315073790684
FCHO1,-0.04896719560640861
KIAA1161,-0.06468905100386513
SDHA,-0.06648871798820366
