,0
UBA52,1.5054420111111142
ALB,1.906845532051772
LCE3D,1.792584898498916
MANBA,0.6907216401580465
TRAM1,0.7317171673860257
FLG,1.3944137114071395
LYZ,1.3494545480321412
MAP1LC3B2,0.45234396528109233
PFKFB1,1.357665781705069
FLG2,1.4389548021777365
RLF,0.4225943016642262
DAP,0.5291384251917197
HRNR,1.1942140315410787
SLC25A4,0.44948968713383675
BNIP3,1.1501779298991188
PPP1CB,0.43866749057054655
DCD,1.303813997044319
HBB,0.7484764110777187
IGHA1,1.5976829309724394
TEAD2,0.5618529042870195
PIGR,0.8273809665755616
KDM3A,0.6735499306873827
C2ORF49,0.38114911730449563
HLA-DRA,0.3332937115430745
BIVM-ERCC5,-0.17883440142839135
MON1B,0.6274996137445559
CACFD1,-0.57846836005953
HSH2D,0.7386136121658895
ANKZF1,0.5472732195939649
MINDY2,-0.4176602470566233
BAD,0.6248612969913285
SNX19,0.4391750128593468
JMY,0.7067455274714489
IGKC,1.2796962743673017
GCSAM,0.3364900810940261
PRR14L,0.23826597941631888
PLOD1,0.6777616808569675
UQCRH,0.5809000461473772
MICU1,0.70625966028084
KDM4C,0.462741498334708
GTPBP6,-0.505627296940399
DSC1,1.14767623992564
CKS2,0.09993862885152005
TTF1,-0.5243447640843935
C14ORF1,0.6412669624075109
DDHD2,0.6502609909051591
GTF3A,0.4736338581806674
LMAN2,0.2950779830312662
DOPEY1,0.35322245724917956
MSL1,0.6242662491929001
NACAP1,0.47670945615463234
TMSB4X,0.47839424190388513
PIK3IP1,0.5753833319539785
XPR1,0.4048613346050103
ALDOC,0.539720000681223
RNF213,0.2995267933840844
SERPINB12,1.0126464925963132
OGFOD2,-0.5745021848858265
COA6,0.40170575796530805
CCNY,0.20709894945865281
IGHG1,0.6016599609972371
SRP9,0.1709013557272261
LTF,0.7509703824071101
LAMTOR2,0.3725922293523336
NCCRP1,0.900734176827851
PSMD4,0.2435195191587507
CSNK1E,0.2488321253913921
XP32,0.8300486688341566
CAMK4,0.6465844821315132
PEA15,0.5604157040682702
TUBA4A,0.2114907547439433
FAM162A,0.48652686921099075
EEFSEC,0.5366236987807316
P4HA1,0.5114221868131636
CBL,0.45597836875867204
AGTRAP,0.4405263656459839
CENPN,0.8945635274507495
UNK,-0.856340318950711
BCAS2,0.3763064474552653
SPG7,0.4050294042961067
MCRIP2,0.17621314514869058
RPS23,0.05300660799130519
EGLN1,0.47505214369513205
RSPRY1,0.7107239684448836
NARF,-0.2407517393919154
DYNLL2,-0.10476230743894588
PKP1,0.9058052101559335
FAM160A2,0.42380739710883786
KDM5C,0.41152078960038985
DBI,0.4161016056878388
RGCC,-0.8702418655954127
DGKZ,0.4274871879879738
PBX2,-0.6606764190682737
WDR41,0.39659890521112207
LMCD1,0.18088301245026717
SUN2,0.39843420552554853
KDM4A,0.17395021799871557
WDR5,0.2934405705552301
UNC93B1,0.19710661226376658
GLA,0.24595310556952388
K7EQG2_106,0.4844689553200987
DSG1,0.9294106486405909
CYP51A1,0.4253395165736311
ZBTB44,0.19998129282820898
DHX35,-0.8504308256105064
NME1,0.1146728529759411
ARCN1,0.1576796433320382
SLC2A1,0.3637742048506336
HCCS,0.22448710707415387
TXNDC12,0.18675905295433992
TRMT61A,0.41733877737438263
GAB1,-0.583215075239305
RPTOR,0.5491564359082828
TCP11L1,0.057078728294455594
BRI3BP,0.27310644383378246
SYS1,0.388722461436092
GBE1,0.36110146055028824
CENPA,0.3040026142203658
AZGP1,0.879596805917847
HK2,0.41609825685928037
NUCB2,0.21463236498297888
MRPL39,0.10721403775802507
SP4,0.18613890076318285
SSBP3,0.40593357929859586
GSDMA,0.7449139675618657
EIF4ENIF1,0.15058482167917298
IFRD2,0.2192546925765484
S100A7,0.4259615463153885
MBOAT7,0.443463945652109
RNF170,0.559615651546594
RNPC3,0.6359318260094571
CALU,0.15228236467580203
JUP,0.9734325252607121
RPS12,0.12644719490235978
RFC5,0.11831589357315409
RPL35A,0.03341639467619295
SLC27A4,0.27429184087682756
ATP6V0D1,0.5663478749640705
KMT2B,0.3281694582318315
TOR4A,-1.4458634985675003
ATG5,0.06984586209653898
CCDC97,0.4777707565727827
N4BP3,0.45639000411429986
CAMK2B,0.2740102013632999
APIP,0.13039847249599568
H2AFY2,0.2867291628924056
COMTD1,0.2435234858314539
TAF15,0.16039544620681134
EPN1,0.21521904129444813
DERL2,0.7972271844760002
CST4,1.0094895948088642
MAPK3,0.1346942105290001
TGM1,0.9544051232154773
MRPL48,0.11941320000437017
KDELR1,0.17983812782897513
TRAFD1,-0.6216523320112977
MAN1B1,0.3036738576011917
ME1,0.7258022852283634
TMED7,0.3730255549696482
TGM3,0.8997598911982418
ABCC4,0.26943047766337536
RASA4B,0.2449430396594785
ATP6V0A1,0.39798851044642003
GTF3C3,0.18095528039736664
SMAD3,0.3347335765084001
TOX4,0.5213433515597341
STIM1,0.20276524808128205
TWISTNB,0.28918956527135364
MRS2,0.3998375376855039
CALML3,0.7309023669682726
RBPJL,0.40629913036048926
XPO6,0.27580541337801723
NDUFB4,0.47351080004785295
DNAJC21,0.20726979347103214
C8ORF37,0.14634149853940404
INTS9,0.2674122458267698
FCHO1,0.25455681199625424
KIAA1161,0.11440683633288184
SDHA,0.21005469950871536
DYNLL1,0.2543004783926932
SF3B4,0.060193707306016364
IQSEC1,0.32866003046536285
PHF5A,0.2597262894388397
ANKRD54,-0.7364572499843431
HTATIP2,0.075498781039812
PDK1,0.40367007866777804
CNTRL,0.2634741435951078
FRMD8,-0.9805877770739633
