,0
UBA52,-0.31588098550235344
ALB,-0.040637872446584566
LCE3D,-0.7086077683336818
MANBA,0.23125902574017276
TRAM1,-0.5345179355928655
FLG,-0.2554548181373759
LYZ,-0.04884197235313348
MAP1LC3B2,-0.2744887681097863
PFKFB1,-1.084857520308701
FLG2,-0.18625915213318933
RLF,-0.21120722537249748
DAP,-0.07407646767709508
HRNR,0.2737595016378105
SLC25A4,-0.21763380164488222
BNIP3,-1.1814334819976011
PPP1CB,-0.0089098902124789
DCD,-0.004742685469512509
HBB,-0.3937220396222365
IGHA1,-0.22023033212872
TEAD2,-0.3640233065291403
PIGR,0.16965918059695095
KDM3A,-0.8194011683793017
C2ORF49,-0.1562199449667716
HLA-DRA,-0.1830474770681203
BIVM-ERCC5,0.5384039604246866
MON1B,-0.255718416990951
CACFD1,-0.43367961663438237
HSH2D,-0.3099354704031634
ANKZF1,-0.7184375958438256
MINDY2,-0.4906122391881502
BAD,-0.7997398934607727
SNX19,-1.2801631605556465
JMY,-0.4454103547236197
IGKC,-0.7362453569692509
GCSAM,-0.08294920702942488
PRR14L,0.10073135747809481
PLOD1,-0.7468391228449303
UQCRH,-0.5595860400793615
MICU1,-0.6874639841238563
KDM4C,-0.5116089648022859
GTPBP6,-0.519779076941632
DSC1,-0.15046090262378353
CKS2,0.0648934435043298
TTF1,-0.20310782242700487
C14ORF1,-0.09799601354531617
DDHD2,-0.24668916823294218
GTF3A,0.36029143394547347
LMAN2,-0.3365252448974694
DOPEY1,-0.35410740708424804
MSL1,-0.020386803680231935
NACAP1,0.03727648013493079
TMSB4X,0.021747433212233602
PIK3IP1,-0.24942107080169063
XPR1,-0.25998149922783576
ALDOC,-0.4882969136218467
RNF213,-0.38955308690006873
SERPINB12,0.09426610196834773
OGFOD2,-0.1905712379106328
COA6,-0.10488279713233961
CCNY,-0.5741476715991052
IGHG1,-0.34291082113275806
SRP9,-0.037313988137910314
LTF,-0.15078489999930422
LAMTOR2,-0.3545678558986278
NCCRP1,-0.16488570727303387
PSMD4,-0.049617937296929426
CSNK1E,-0.14943598632253874
XP32,0.0887254203701131
CAMK4,0.08347362468531117
PEA15,-0.4741908120976248
TUBA4A,-0.026411861416017146
FAM162A,-0.5963219304623291
EEFSEC,0.1187270154500557
P4HA1,-0.4263924955545324
CBL,-0.4349671849870673
AGTRAP,-0.30983637512543183
CENPN,0.11622638640112726
UNK,-0.12156860790956614
BCAS2,-0.064615144383529
SPG7,-0.2861712387875315
MCRIP2,0.2617192840911442
RPS23,0.20527108287929252
EGLN1,-0.4929595130380271
RSPRY1,-0.19410982203088878
NARF,-0.17758580428845416
DYNLL2,-0.08939306563500526
PKP1,-0.4336967693084386
FAM160A2,-0.04383280633388198
KDM5C,-0.33014047171658234
DBI,-0.21077616581196068
RGCC,0.32216603490708007
DGKZ,-0.05798029851404607
PBX2,-0.30003114441825174
WDR41,-0.18886614936524015
LMCD1,-0.5273962339380844
SUN2,-0.20402304328357435
KDM4A,-0.6206060119922112
WDR5,-0.15730988858418993
UNC93B1,-0.44502699259439993
GLA,-0.1803849134068196
K7EQG2_106,-0.3528150807331554
DSG1,-0.07298684146937973
CYP51A1,-0.5598671520988265
ZBTB44,-0.24359635133730695
DHX35,-0.009273649397649741
NME1,0.012597957841279595
ARCN1,-0.036412574688496235
SLC2A1,-0.4119682887936911
HCCS,-0.0835789763658834
TXNDC12,-0.23496946247049166
TRMT61A,0.055362621478284524
GAB1,-0.24019011707205173
RPTOR,-0.17136101871084541
TCP11L1,-0.3198472464283615
BRI3BP,-0.10978092421532182
SYS1,-0.13486540038057315
GBE1,-0.30659135801698856
CENPA,-0.05335519649993259
AZGP1,0.004279552032095069
HK2,-0.41568713247923483
NUCB2,-0.18027590602497767
MRPL39,0.02852836141848414
SP4,-0.24267307064888222
SSBP3,-0.24166035313588097
GSDMA,-0.3686080932318925
EIF4ENIF1,-0.34129635558114835
IFRD2,-0.10849147745764931
S100A7,-0.4617368918178517
MBOAT7,-0.49434906557247604
RNF170,-0.11799385369976445
RNPC3,-0.017001071306371074
CALU,-0.11799854755889072
JUP,-0.29275509016860646
RPS12,0.18404159144284193
RFC5,-0.0891801574710307
RPL35A,0.10764514462210961
SLC27A4,-0.0891681720705435
ATP6V0D1,-0.27224243391965963
KMT2B,-0.3329664703376234
TOR4A,0.5774833710145713
ATG5,-0.42306986774618593
CCDC97,-0.44828095454577443
N4BP3,-0.11544614602811176
CAMK2B,-0.0839759533347344
APIP,9.346027027845594e-07
H2AFY2,-0.28793798363575007
COMTD1,-0.207981157703105
TAF15,-0.1356104511771079
EPN1,-0.14848374298328615
DERL2,-0.16724039747657837
CST4,-0.02365647464853593
MAPK3,-0.12050743282489051
TGM1,-0.10397970398855527
MRPL48,0.03910926852606256
KDELR1,-0.10207865235652847
TRAFD1,0.07090969382808687
MAN1B1,-0.08609519893874307
ME1,-0.302575115504955
TMED7,-0.3266959817363082
TGM3,-0.12776179637106555
ABCC4,-0.11527298003621045
RASA4B,-0.1211735733413084
ATP6V0A1,-0.3992998975361344
GTF3C3,-0.13134471627248523
SMAD3,-0.26389033398973005
TOX4,-0.1463804633349266
STIM1,0.006616300749730186
TWISTNB,0.13591328710441797
MRS2,-0.3016689643974866
CALML3,-1.1121967693090684
RBPJL,-0.3433588801101308
XPO6,-0.12959723393000644
NDUFB4,-0.3034418454394112
DNAJC21,-0.2284645138151591
C8ORF37,0.12441871533595172
INTS9,-0.16290909508886298
FCHO1,-0.20558961638984563
KIAA1161,-0.04971778532901672
SDHA,-0.1435659815205117
