"CNV","MET","MRNA"
"AGMAT","FAM174B","KIF13A"
"DDI2","CCDC137","SOCS3"
"PLEKHM2","GABARAPL3","LOC401010"
"RSC1A1","TNFRSF13C","SLC2A3"
"TMPRSS2","SUMO3","KLHL17"
"PI16","MRPS23","MGC27382"
"CLCNKA","COL11A2","PRMT8"
"FAM131C","PIGT","KCNH6"
"HSPB7","NHLRC1","OTUD1"
"CRYAA","ITPRIPL1","UBD"
"SIK1","SFPQ","NYNRIN"
"CLEC7A","SRCIN1","EMX2"
"MDGA1","ACTA2","GAPDHS"
"SLC2A5","PLXNB2","KRT20"
"KRTAP1-1","KRTCAP3","SLC16A3"
"KRTAP3-1","PVALB","ZNRF3"
"AEBP2","FXYD3","IL1A"
"HIST1H2AB","ANKRD34C","MED24"
"HIST1H3C","WDR20","TMEM37"
"DDX47","CA9","XDH"
"ETV7","ZC3H8","KRTDAP"
"DIP2A","ARL16","TADA2A"
"MCM3AP","ZNF683","NIPAL3"
"PCNT","CDKN2B","ADARB1"
"C10orf91","CPLX3","POLG2"
"LRRC27","NFIB","MME"
"TMEM37","MPP7","PSD"
"ANKRD20A1","FZD2","MAGEA2"
"AQP7P1","CHAF1B","MMP9"
"FOXD4L4","PPP1R9B","IFNGR2"
"LOC440896","ZFYVE27","MIR21"
"CCDC85C","COL6A2","KIF17"
"KRT39","ABCD1","CNGA2"
"ADARB1","ICAM2","PLEKHM1"
"IL1A","BRDT","TMEM54"
"IL1B","TMEM104","DLX2"
"TREML2","MCTP2","RPTOR"
"CA6","KIF24","DENND4C"
"MORC2","GCNT2","FXYD7"
"FAM171A2","GBP6","ANKRD23"
"CROCC","EIF5B","BTBD16"
"MFAP2","TBCB","TMPRSS2"
"ALPL","SOCS3","GH2"
"TNFRSF8","MOV10L1","PRIMA1"
"C2","SLC25A10","ITFG2"
"C6orf25","FXYD1","CD274"
"CYP21A2","KCNA6","SDR39U1"
"HLA-DOB","RHOBTB1","EIF4A3"
"LY6G5C","CROCC","FAM104A"
"PPT2","SDHAF1","ANKRD20A1"
"SLC44A4","KRT40","TMEM222"
"TAP1","AFF2","CCDC85C"
"TAP2","TAS1R3","BTN1A1"
"TREM1","C2","UTP18"
"PLEKHF1","FZD8","NPB"
"SLC5A1","ELFN2","NHLRC1"
"ERG","VAMP5","PLXNB2"
"COL11A2","NINJ2","ARL16"
"HSD17B8","SUSD2","CUL9"
"KIFC1","SP2","TMEM150A"
"RNF182","INSL5","TBCB"
"HAMP","ELOVL1","NOTO"
"MAG","BTN1A1","IL1B"
"MTHFR","ZBTB8B","ALMS1P"
"CCL18","TNFRSF14","SHOX2"
"CCL4","SLC6A8","C17orf64"
"AMN","NET1","ACOT11"
"TNFAIP2","SYS1","PIP4K2B"
"A2ML1","DNAH17","UPP2"
"PAPSS2","CLRN3","PTCH2"
"NEURL3","GJA4","TMC6"
"ITGB3","FAM136A","FBXO48"
"TDRG1","LOC440896","WRB"
"PZP","SLC16A6","IMP4"
"GYPC","MX2","ZNF710"
"FXYD1","MIB2","PTHLH"
"FXYD3","UBD","ZC3H8"
"FXYD7","SLC2A3","INSL5"
"ARHGAP4","TMEM54","ISLR"
"SNAI1","STON1","MGST1"
"CCDC148","GJB3","TOX2"
"RERG","SLC38A11","KIF24"
"KLRD1","SMAP2","FBF1"
"AFF2","MXRA8","A1CF"
"CALY","KANK1","TBX2"
"PRAP1","LAG3","TBX21"
"TTC23","PRSS3","SAMD13"
"TRIM43","FAM179A","PPT2"
"ST6GAL2","SUPT6H","SIVA1"
"ABCD1","FKBP1B","TMEM104"
"CLIC6","FNDC5","OTOP3"
"KIAA0125","C2orf16","CCL4"
"FER1L5","POLR1E","DIO3"
"PCBP3","PLEKHM1","FAM179A"
"ANKRD23","C6orf25","GBP6"
"IFFO2","TOM1L1","MLC1"
"GABRA3","GEN1","AQP7P1"
"ICOSLG","LRRC27","MTA3"
"PLD4","GJD3","EPAS1"
"RPL31","PROKR1","APOBEC3D"
"GLP1R","FFAR2","SRD5A2"
"DLX2","MCM3AP","TBKBP1"
"ANGPTL7","KRTAP17-1","GDF3"
"CYTIP","KRTAP8-1","GNA13"
"CCDC91","HIST1H3C","ANKRD16"
"SERPINA12","C2orf70","SH3PXD2A"
"SERPINA4","RGMA","CD163"
"SERPINA5","PPT2","HOXB9"
"LDLRAP1","PADI1","PECAM1"
"MGMT","ZBTB48","KIAA1024"
"SERPINA3","MYOM3","DMRT2"
"WDR62","PSD","CCDC91"
"XRCC3","MEIG1","KIAA0125"
"CHCHD5","DBNDD2","DDX1"
"ZC3H8","CDKN2A","PADI1"
"TANK","RNF182","EPHX4"
"MGST1","KCNG3","KRTAP3-1"
"TBCB","LGALS9","MOV10L1"
"CPD","PCMT1","CD9"
"IFNGR2","MBOAT1","HLA-A"
"PDIK1L","USP39","HES2"
"TRIM63","HOXB1","TCL1A"
"BDKRB1","GTPBP4","DNAJB5"
"PISD","MARCKSL1","LOC440896"
"C6orf223","SOX9","LDLRAP1"
"KCNAB1","EMILIN1","SIT1"
"COL17A1","RAD51AP2","C14orf142"
"ITPRIP","UBE4B","L3MBTL2"
"ADCY4","HSD17B8","BMP8A"
"CIDEB","CNGA2","MSGN1"
"NYNRIN","ACYP2","TTC31"
"RIPK3","F3","UCMA"
"TGM1","CALY","PRAP1"
"VEGFA","PNMT","ATP6V1B1"
"PADI1","CCDC85A","CASC3"
"TECPR2","MTVR2","MARVELD1"
"UBA2","LRP8","C2"
"WTIP","CYP26B1","FAM83F"
"DPYSL4","NEBL","MCM3AP"
"ACR","TAS1R1","APOL2"
"ADM2","DUS1L","ACAN"
"KLHDC7B","SCN4A","DDX24"
"MAPK12","ZNF208","PIPOX"
"MIOX","C14orf142","NTF3"
"MLC1","PTCH2","KRT39"
"MOV10L1","ABCA5","CSNK1E"
"PLXNB2","NPB","ALDH5A1"
"SHANK3","OR2W1","HIST1H4F"
"TRABD","NKX1-2","MAPK12"
"SDC4","CD274","C6orf62"
"RBP4","GMNN","IAH1"
"IL1R2","KRTAP19-1","HIST1H2AB"
"PRIMA1","BSND","ZNF683"
"MAGEA12","OTUD1","SLC25A39"
"MAGEA2","KCNAB1","SCUBE3"
"MAGEA3","BCL11A","PLA2G2D"
"MAGEA6","KCNB1","C1QL1"
"PNMA3","A1CF","SDHAF1"
"PNMA6A","PLD4","DIP2A"
"ZFP92","SDR39U1","SERPINA12"
"A1CF","DERA","CPXM2"
"IL1RL1","CACHD1","SLC25A17"
"IL1RL2","CASC3","FHAD1"
"DKFZp566F0947","PLA2G5","ATG4C"
"PTGIS","ABCA6","ANO2"
"IL1F10","PDIK1L","REG1A"
"ITPRIPL1","TAP2","TCL1B"
"DBNDD2","MAPK12","FURIN"
"PIGT","SLC6A4","B3GALT6"
"SYS1","METTL2A","RAB11FIP4"
"KCNG1","KIF18B","PROCA1"
"WFDC6","TREM1","NINJ2"
"SUMO3","COL8A2","KRTAP19-1"
"C14orf142","CRTC3","SCN4A"
"DLG5","DRGX","ST8SIA2"
"SERPINA10","CCDC30","CLCA3P"
"SERPINA11","PTPRD","PZP"
"GRAMD2","KDM5A","MTVR2"
"ADRA2B","LUC7L3","FAM159A"
"WFDC12","CSH2","CSF2RB"
"PRB2","PLEK","PLA2G5"
"PRB4","HOXB7","ELOVL3"
"CD22","TTC31","RHOBTB1"
"FFAR2","KIAA1522","EFR3B"
"GAPDHS","CLCA3P","MAS1L"
"KRTDAP","TET3","KDM5A"
"SBSN","NFYC","STXBP6"
"KRTAP17-1","ACR","SPAG6"
"KCNS1","KIAA0125","RSC1A1"
"LYPD1","TCL6","CYTIP"
"ZNF30","ACAN","FGD4"
"MED29","AK3","SMAP2"
"SAMD4B","IWS1","PTPN18"
"DKK1","PSMD12","TRNAU1AP"
"SH3BGRL3","ATG4C","NET1"
"UBXN11","ZCCHC11","TXN2"
"ZNF683","UPP2","CSH1"
"CD300LG","HNRNPA3P1","BEGAIN"
"DUSP9","KANK4","CRYAA"
"SLC6A8","CLCA4","KCNB1"
"INA","ARMC4","OR4D2"
"DDX24","MICALL1","EXOSC3"
"PTX3","NIPAL3","DKFZp566F0947"
"SLPI","EIF3L","WFIKKN2"
"RAB11FIP4","CRABP1","DDI2"
"CABP7","CLEC9A","CIDEB"
"MAMLD1","TCN2","ADAMTSL1"
"RARRES1","THNSL1","ARHGAP29"
"XBP1","FAM171A1","HOXB7"
"KRTAP8-1","SNAI1","HAMP"
"SARM1","CCL21","FXYD3"
"SLC46A1","ARHGDIB","CAPG"
"RIMS4","PPCS","CD27"
"LGALS9","RSC1A1","CALY"
"DIO3","INTS2","LYZL2"
"KRT15","RIMS4","DCTN1"
"KRT19","FAM171A2","VAMP5"
"SDHAF1","YBX1","FOXD4"
"PA2G4P4","RSPH1","IFFO1"
"SLC25A39","NCK2","POLDIP2"
"IL18R1","RASSF4","FBXO44"
"IL18RAP","FNDC4","CCL19"
"SHOX2","CD27","SARM1"
"ELOVL3","IL11RA","LOC91450"
"UPP2","RBP4","LGALS2"
"SH3PXD2A","TCTEX1D1","FAM160B1"
"ZNF43","PRIMA1","ADRB1"
"CCDC150","FURIN","DDX47"
"SLC35B2","NUP50","C2orf68"
"MSMB","DDI2","C2orf16"
"ZNF208","MPI","ZFP92"
"ICOS","MAK","TAS1R3"
"C1QL1","CYP2C18","PGC"
"GFAP","NEURL3","SYCN"
"KIF18B","SERPINA11","LUC7L3"
"FLJ41941","DENND4C","CLCNKA"
"TCL1A","HSPG2","SLC7A10"
"TCL1B","C6orf62","CACNG5"
"TCL6","CALCOCO2","IL1F10"
"CTSG","SLC35B1","CROCC"
"GZMB","KCNJ4","C10orf91"
"GZMH","C2orf68","HIST1H2AA"
"SDR39U1","ABCC3","HDAC1"
"MMP9","ERI3","OR2W1"
"C10orf99","BUB1","PARVG"
"GHITM","SHOC2","FAM107B"
"KRTAP19-1","ANKRD16","RBP4"
"DRGX","DDX1","ZNF485"
"MME","WRB","KRTAP17-1"
"KCNB1","GABRA3","PTGIS"
"PLA2G2D","TAF8","PTPRD"
"PLA2G2F","RNF43","TNFRSF1B"
"PLA2G5","CLCNKA","PROKR1"
"RHOBTB1","CLEC4D","LGALS9"
"NCCRP1","UPF2","CABP7"
"SYCN","FIGLA","NFAM1"
"SCUBE3","SERPINA3","TAF8"
"FZD2","MPP2","TCL6"
"LY75","LBH","PLA2G2F"
"IL17RA","AGMAT","APOL6"
"CD40","APOL6","UNC119"
"ACTA2","GRAP2","GPRC5D"
"LIPK","PLEKHG6","DRGX"
"ISLR","EMX2OS","HLA-L"
"SUSD2","TBKBP1","GZMH"
"PCMT1","ARHGEF4","ABCA5"
"MARVELD1","FTCD","MFNG"
"SFRP5","MSH6","MIB2"
"ZFYVE27","ADARB1","MYO3A"
"COL18A1","COLEC11","ARHGAP4"
"FAM65C","UBA2","KIAA0754"
"SCN2A","CARD10","C17orf62"
"SLC38A11","PGC","GJD3"
"EN1","ERBB2","PRB4"
"MARCO","NKAPL","TMC8"
"CTLA4","MSMB","IAPP"
"CYP2C18","CGREF1","IL17RA"
"MPP2","PI16","ZBTB48"
"NAGS","SIGMAR1","GPLD1"
"PYY","KRT14","PIP4K2A"
"TMEM101","SLC25A39","IL11RA"
"FOXC1","SLC4A1AP","C2orf61"
"NCK2","SLC46A1","HES5"
"CH25H","STXBP6","KIDINS220"
"SLC16A12","GH2","GRAP2"
"TCN2","RPP25","MYO7B"
"ACVR1","PLEKHF1","CGREF1"
"PSD","HSP90AA1","CDKN2B"
"STXBP6","KCNG1","FZD2"
"MAK","CBX4","C1orf158"
"TSGA10","APOL2","PLEK"
"MAL","CCDC88A","HPCA"
"LHX1","ATOH8","VWA5B1"
"GCNT2","ANKRD20A1","UBE4B"
"CNGA2","FAM160B1","UTS2R"
"FATE1","CHCHD5","C1QC"
"EIF5B","ANGPTL7","GNE"
"TOX2","CACNA1G","MAGEA12"
