"Gene"	"Gr1_F2..126..Sample..1"	"Gr1_F1..126..Sample..1"	"Gr1_F2..128C..Sample..4"	"Gr2_F2..128N..Control..781"	"Gr1_F1..128C..Sample..4"	"Gr2_F1..128N..Control..781"	"Gr1_F3..126..Sample..1"	"Gr2_F3..128N..Control..781"	"Gr1_F3..128C..Sample..4"
"POU2F1"	11.5809180421765	12.11731842601	11.1156289351826	11.6961851300615	11.6499746511581	11.211888294546	11.90033852794	11.580729651599	11.4172723673539
"TPD52L2"	11.2793203879426	10.9114668921835	11.1958027983747	11.110548559134	10.8086424679181	10.5874024981195	11.6867631298064	11.2016338611697	11.5381404209799
"RANBP3"	10.8047763779558	10.8769773076945	10.9383299049279	10.9744145898055	11.0343863120408	11.1482859050353	10.9562309365499	11.139359491897	11.2036538855296
"CSNK2B"	10.5664346462833	10.5744043090226	11.1776064034828	10.5522848399435	10.992725951293	10.3670870770112	10.2466218532739	10.4879404965536	10.904935622095
"SON"	12.048180319816	11.7003530151127	11.3290114421312	11.1644041578813	11.0219515909625	11.6023277060139	11.9764567227646	11.4769486732459	11.2437690319619
"DENND4A"	11.5347405859544	11.6055258169029	11.0447356260569	10.5393527087013	11.1053192659604	10.5462192440637	10.6160893135821	10.9594224200937	10.1630206395808
"LMO7"	11.4290405287843	11.0133924683042	11.1087857909046	10.7336932798943	10.6642694923189	10.4921536264924	11.1467595799654	10.6884251706619	10.8691311196443
"LARP4"	11.0338359276599	10.7286858325981	11.0125547068245	11.4769992861331	10.8237652797897	11.2187448481378	11.3425191896606	11.4875386036501	11.3617793234388
"TP53BP1"	11.3273842262698	11.5587555174304	10.5327455269766	11.3083390301394	10.7385145324293	10.5064067660745	11.9555772624446	11.1904420187828	11.2208619666675
"CHAMP1"	10.0204244152004	10.2392404959824	10.1489849313875	11.1735522222343	10.3242930769445	11.4132576885116	10.0849412265357	11.5420161613568	10.1410853185623
"LRWD1"	12.3345247013418	12.6144798042453	11.6591485730202	11.7248974975953	11.9766357194075	11.8608541944793	12.551780346514	11.7735101377554	11.8694010597781
"TJP2"	11.5561707280127	11.8977698410763	10.8381796782152	11.1427452767515	11.1358375199644	10.7978236173141	11.5085375953473	10.7701683201034	10.8590688246924
"RCC1"	12.2856045056671	12.36957008421	11.9342437295386	12.0264542800259	12.0110874526187	11.6615554424678	12.501488906133	11.5376066914953	12.1628004120164
"ABCF1"	8.95594045128948	9.50997289130906	9.49605483230829	10.7941721472785	9.97985386716374	10.9415611906665	9.16766902750194	10.8639539325593	9.60696034451027
"EIF4G1"	10.7175050714371	10.8764402054261	10.2627995730766	10.8916318325891	10.4909511300353	10.6397024676915	10.9711842724047	10.9175958514248	10.4975524915738
"U2SURP"	11.1970938007346	11.5176201821432	10.0826813029504	9.00786824333334	10.3880172853451	9.94236788253908	11.6516347523073	10.1038123294288	10.4223801897883
"SRPK1"	5.25550073314839	5.44956137461324	8.31242920625061	11.3666500622283	8.60028462289809	10.9389179499927	5.52669484554198	11.1963562265667	8.1532986828549
"UBE2J1"	12.0712947534898	11.9193475318973	11.4275223706826	10.7243433117118	11.203531540292	11.4579451231092	11.9625345635113	11.1091123920064	11.2372697231892
"THUMPD1"	8.42122329922514	9.38024459047818	10.9032793420561	11.4785168476765	11.7363173628936	11.6141576867923	9.07628116657949	11.3223225278887	11.5426933467301
"REPS1"	7.74550626586916	7.66746640495737	9.80880333038585	9.1766718338829	9.82288944734742	9.72451385311995	7.47329987114132	10.2270141936491	9.78037572232529
"CARHSP1"	11.7177620912497	11.6105173664735	11.561383421492	11.4789212613	11.387155717663	10.699398937737	11.4209076225438	11.5628624971492	11.1391676058768
"CAD"	11.9642686590264	11.7384723107099	12.0697853949833	11.1520312708074	11.8287711938572	11.2459091766378	11.6496154590634	10.7592224263845	11.7229355753429
"CLASP2"	10.2046934013605	10.3856467350396	11.5641018440523	11.0818162781092	11.7388100498718	11.0600203545079	10.0508009581508	11.0026743952024	11.3054917921107
"SLC38A1"	9.11322124347957	8.85829188728283	11.5166357097307	11.0577210228727	11.3376776464735	10.4885431260698	8.77379857375169	10.7682670457449	11.1550711912457
"TCOF1"	8.17592374206376	7.80992886572143	11.9808536063797	11.3682336113809	11.4532191817721	11.6189360441622	8.31152127982613	11.7119250354631	11.9700699306665
"PRKRA"	10.1440208692669	10.1357092861044	11.1048607997082	10.3814347990768	10.9521588107471	10.7195599489941	10.0619111739671	10.6664015543437	10.9787104591064
"CXCR4"	9.60288440871842	9.60862445944877	9.71990214421414	9.81874193552774	9.53255073928427	10.0112272554233	10.2767060198924	9.80783788642329	10.2076244682268
"CD74"	10.9485862476073	11.0860034962871	10.4115109880121	10.3322603781722	10.5209132784624	10.5159954422275	10.9316978290091	10.4094970127556	10.2879431922915
"SF3A1"	8.39703281709685	8.27937843123448	10.9969677195495	10.0292872269682	10.8934532258337	10.5469908934989	8.0666274090952	10.9661449133456	10.6804474364378
"EPB41L2"	11.7893298600924	11.4828583644778	11.1799712738058	11.2799587357517	10.9053117843377	10.5590902439126	11.6652914985506	10.9711842724047	11.0191737042067
"IQSEC1"	12.0719985807531	11.9812104882717	11.6752072716576	11.3910287268102	11.5319662183603	11.1053192659604	11.7455482822378	11.0435058234282	11.2738538652041
"SKIV2L"	11.7239168699715	11.6701250979653	11.5828946594068	11.7185328760692	11.4739086460463	11.529528162146	11.7282181498282	11.4898479604393	11.5775704469068
"PLIN3"	11.2434715383963	11.0140902314446	10.5073982409543	10.8384160757973	10.2224326745428	10.598889950949	11.2018176166679	10.8123377743474	10.5209132784624
"KLC1"	10.7233196396909	10.4705572006371	11.1935869601699	11.4137336945783	10.846900693174	11.1111356702347	10.5416774494341	11.0518886559054	10.9455901469141
"SLC16A1"	11.0201465731118	10.7994435310716	11.9423312245106	10.9821379682399	11.7646228287662	11.238464452288	10.2704121391551	10.8021124185861	11.2959984619114
"DDX21"	6.33449676839042	5.30742852519225	9.12644636477543	10.0201465731118	8.52552080909507	9.6387978999517	6.08746284125034	10.4507988543525	9.16465556417991
"RPLP0"	10.3006957459242	10.1710516668966	10.3167340709723	10.9787104591064	10.0922285843868	10.955359305243	10.0129038332306	11.007027266894	9.97842446544086
"NRDC"	11.1169287190814	11.3278332967503	11.2419235821954	11.3482302057547	11.4382200661776	10.8725209845917	11.2924941936588	11.0536544176031	11.361450366599
"RPS6"	10.6958372621857	11.1879087520373	10.8522954133373	11.6209070958853	11.1090470777007	9.32102612859297	10.9028272991131	11.237209960755	11.2488170592785
"PCBP1"	12.1114943427671	12.2446314165568	11.6077001881372	11.4055137921257	11.7403710658452	11.5899787817713	12.0389875568188	11.4168502952965	11.5698556083309
"ZC3H14"	11.9576462152184	11.8804636069074	11.5158476478268	10.7052867902725	11.4940055137356	10.9441995973694	11.8482317010938	10.8723670724946	11.3522641732583
"ACAP2"	11.2550875986864	11.2366719874162	10.3064035197915	10.4023725783222	10.4020527493815	10.4829087704677	11.390222706877	10.5312839778283	10.612868497291
