,0
RP11-34P13.18,0.031648633297003514
AP006222.1,0.0220221546608741
RP4-669L17.4,-0.05930285677495057
RP11-206L10.17,-0.02273498180798042
RP5-857K21.9,0.05867145950195256
RP5-857K21.8,-0.003270014607403837
RP5-857K21.6,-0.2450532381805376
RP5-857K21.7,0.03572179805101297
RP5-857K21.10,0.06123385930875358
RP5-857K21.11,-0.029336640062550184
RP11-206L10.2,0.07913882633559888
RP11-206L10.9,0.1796076565832495
RP11-206L10.8,0.019312660737533127
RP11-206L10.11,0.041903408780500584
NCRNA00115,0.01599973474201588
NOC2L,-0.00025817621827073367
KLHL17,0.022866806013852603
ISG15,0.030170176763443912
AGRN,-0.10063105974171804
C1ORF159,0.23253527772016191
RP11-465B22.5,-0.1918662807943241
SDF4,0.19520503342666728
B3GALT6,0.22052429962032427
C1QTNF12,-0.02833786928197886
RP5-902P8.12,0.0012719813509485256
UBE2J2,0.09027815882476364
RP5-902P8.10,0.05166555390036257
SCNN1D,0.15819028753224074
ACAP3,0.12495762010207301
PUSL1,0.144657197974686
INTS11,-0.10085976564081545
RP5-890O3.9,-0.013312523426383227
CPTP,0.20660474116097483
TAS1R3,0.12545047346446414
DVL1,0.08836692024283188
AURKAIP1,0.026732130289125244
CCNL2,0.12539847089444223
RP4-758J18.2,0.13313886415733567
MRPL20,0.011281633801178081
RP4-758J18.13,0.10231148802291634
ATAD3C,0.01481648332293739
ATAD3B,0.30674655550281305
RP5-832C2.8,0.01368233160866078
ATAD3A,0.1265979239820645
TMEM240,-0.028284884015004202
SSU72,0.019498566621313884
RP5-832C2.5,-0.11700059551984515
C1ORF233,-0.02209664237710901
RP11-345P4.9,0.07546161774488158
MIB2,0.14880219747877232
CDK11B,-0.0699572442133416
RP11-345P4.10,0.008257826171807855
SLC35E2B,0.05516938178171138
CDK11A,-0.1761550256646186
RP1-283E3.8,0.10854413583093081
RP1-283E3.4,-0.013972866852235338
SLC35E2,-0.04230639514397172
NADK,-0.07241113195293991
GNB1,0.001963187595688254
RP1-140A9.1,-0.11313574563595885
TMEM52,0.05268685258656164
PRKCZ,0.028026660299122597
RP11-181G12.2,-0.043170846819565345
FAAP20,0.20013290806663164
SKI,-0.10185704121101669
MORN1,0.031443975911460864
RP4-740C4.5,0.1044793587711838
RP4-740C4.7,0.04779974719726242
RER1,-0.037510026675271924
PEX10,0.15148120825607414
PLCH2,-0.024165995735250273
PANK4,0.054831066311237464
RP3-395M20.12,0.15012385977645454
RP3-395M20.8,-0.11062399343329699
TNFRSF14,0.08504286058264432
RP3-395M20.9,-0.07194266005659589
FAM213B,0.031959026865295836
TTC34,0.04688864714010205
TPRG1L,-0.050560935846529986
WRAP73,0.03072969877941567
TP73,-0.014669240885106793
RP5-1092A11.5,-0.19307963147080387
TP73-AS1,-0.12451340427279911
SMIM1,-0.038185554113526976
LRRC47,0.048733418368104964
CEP104,0.06395881698584205
DFFB,0.09856827745942631
C1ORF174,-0.027265332528955355
RP13-15E13.1,-0.13488000845886639
RP11-718D19.2,-0.016214981183769295
NPHP4,0.2928056145114608
KCNAB2,0.16570013517468052
CHD5,-0.03207819825005405
RPL22,0.048673804333276394
ICMT,-0.08536046928986263
LINC00337,-0.10274295724649374
GPR153,-0.1359321612644723
ACOT7,-0.16553633571083637
RP1-202O8.3,-0.08223687835359661
ESPN,-0.02806317387698143
TNFRSF25,0.11821066044459587
PLEKHG5,0.13842271360454994
NOL9,-0.04560062663195552
TAS1R1,0.01620453412446604
ZBTB48,0.130719747595184
KLHL21,0.03802227144272763
PHF13,-0.14832844401396628
THAP3,0.16858190387371952
DNAJC11,0.07404185256500018
RP11-312B8.1,-0.15567637458733316
CAMTA1,0.10479472211070817
VAMP3,-0.14265850200377184
RP3-467L1.6,-0.11314766852111305
PER3,-0.00789952968380725
PARK7,0.02777214131200978
RF00019,-0.16913519801907495
CTA-215D11.6,-0.1508429093103465
ERRFI1,0.03113376226243969
CTA-215D11.4,-0.03226783694002969
RERE,-0.1048076035066785
RP5-1115A15.1,-0.03166927833645902
ENO1,-0.04140132815382813
RP3-477M7.3,0.1268841907230184
RP3-477M7.4,-0.03364684215297006
SLC2A7,0.007693848338725953
SLC2A5,0.24462937403520524
