"Gene"	"norm_19.C"	"norm_1.1ug.B"	"norm_1.A"	"norm_1.1ug.A"	"norm_19.A"	"norm_1.C"	"norm_19.B"	"norm_1.B"	"norm_1.1ug.C"
"CEP152"	7.459432	7.383704	7.33985	7.409391	7.276124	7.055282	7.199672	7.118941	7.228819
"CKAP2L"	8.636625	8.442943	8.326429	8.459432	8.495855	8.348728	8.326429	8.503826	8.280771
"AVEN"	5.738768	5.507795	5.587965	5.57289	5.778734	5.593951	5.608809	5.354029	5.725196
"HLA-E"	5.944858	5.703211	5.797013	5.78398	5.918863	4.485427	6.147714	6.078951	5.57289
"FGD4"	6.3733	6.102238	6.173927	6.253611	6.32373	5.918863	6.1918	6.361066	6.268659
"NAA20"	5.944858	5.675251	5.719731	5.57289	5.862947	5.678072	5.581954	6.0268	5.862947
"CDC6"	5.620586	5.560715	5.768184	5.757557	5.857981	5.683696	6.093814	5.708739	5.778734
"YIPF5"	6.517276	6.72792	6.3733	6.563768	6.548437	6.369815	6.244126	6.439623	6.546894
"RPP40"	8.569856	8.426265	8.426265	8.558421	8.577429	8.348728	8.405141	8.546894	8.434628
"CNOT8"	6.493455	6.578939	6.221104	6.626439	6.405992	6.348728	6.496654	6.574404	6.459432
"PRDM15"	4.270529	3.523562	3.733354	3.847997	3.711495	3.536053	3.877744	3.744161	3.981853
"EDEM3"	6.294621	6.21529	6.108524	6.307429	6.251719	5.894818	6.129283	6.343408	6.181898
"CCDC174"	5.930737	5.708739	5.364572	5.652486	5.738768	5.590961	5.292782	5.643856	5.599913
"FZD6"	5.584963	5.332708	5.133399	5.165912	5.100137	5.0917	5.236493	5.070389	4.972693
"PUS3"	4.336283	3.972693	4.193772	3.857981	4.070389	3.711495	4.446256	4.446256	3.990955
"TICAM1"	5.251719	5.201634	5.161888	5.611763	5.517276	4.986411	5.311067	5.942515	5.193772
"WHAMM"	4.485427	4.044394	4.044394	3.776104	3.786596	4.529821	4.285402	4.145677	4.193772
"MTMR4"	4.554589	4.169925	4.137504	4.343408	4.285402	4.584963	4.153805	3.972693	3.776104
"TADA2A"	6.266787	6.361066	6.221104	6.203593	6.369815	5.885086	6.383704	6.559186	6.388878
"METTL10"	5.629357	5.399171	5.485427	5.510962	5.643856	3.548437	5.289097	5.536053	5.303781
"EEF2"	13.59817	13.39888	13.45134	13.52662	13.62125	13.27044	13.63265	13.48947	13.39888
"CDK1"	10.25385	9.967226	10.06474	10.13057	10.16867	9.962896	10.21796	10.06474	10.02375
"RBM12"	9.995767	9.782998	9.773139	9.906891	9.935165	9.61471	9.868823	9.884171	9.746514
"POLR1A"	9.23362	9.164907	9.038919	9.111136	9.199672	8.84235	9.019591	9.194757	9.030667
"THOC2"	10.45224	10.42101	10.27729	10.35645	10.4315	9.915879	10.35645	10.38909	10.32305
"WAS"	9.981567	9.981567	9.78136	9.84235	9.941048	9.729621	9.794416	9.948367	9.840778
