Gene	norm_19-A	norm_19-C	norm_1-1ug-B	norm_19-B	norm_1-B	norm_1-C	norm_1-1ug-C	norm_1-1ug-A	norm_1-A
DLD	10.48280796	10.47269084	10.4419067	10.51274046	10.37829486	10.2179577	10.36741475	10.35645197	10.28886607
DDX54	9.936637939	9.951284715	9.824958741	9.839203788	9.812177306	9.579315938	9.792790294	9.810571635	9.733015322
HLA-B	7.209453366	7	6.930737338	6.965784285	6.965784285	6.392317423	6.727920455	6.857980995	6.807354922
RRP9	9.485829309	9.459431619	9.315149562	9.348728154	9.394462695	9.033423002	9.11113567	9.37721053	9.262094845
ELAC2	9.370687407	9.238404739	9.192292814	9.129283017	9.154818109	8.948367232	9.09011242	9.209453366	9.036173613
SPEN	7.562242424	7.622051819	7.554588852	7.451211112	7.577428828	6.942514505	7.569855608	7.54689446	7.366322214
HIP1R	7.303780748	7.417852515	7.400879436	7.139551352	7.285402219	6.532940288	7.159871337	7.209453366	7.098032083
FAR1	9.33315535	9.375039431	9.252665432	9.167418146	9.335390355	9.049848549	9.17990909	9.17990909	9.131856961
MRPS5	9.361943774	9.346513733	9.370687407	9.204571144	9.440869168	9.008428622	9.209453366	9.426264755	9.147204925
UBE2M	9.005624549	8.994353437	8.897845456	8.912889336	8.957102042	8.636624621	8.658211483	9.025139562	8.791162889
NDC80	9.339850003	9.417852515	9.159871337	9.317412614	9.226412193	8.888743249	9.174925683	9.243173983	9.142107057
TRA2B	8.558420713	8.442943496	8.353146825	8.348728154	8.370687407	7.918863237	8.060695932	8.299208018	8.243173983
MORF4L2	8.84862294	8.707359132	8.672425342	8.968666793	8.647458426	8.321928095	8.73470962	8.611024797	8.672425342
NOL7	9.095397023	9.084808388	9.044394119	9.041659152	8.95419631	8.661778098	8.997179481	8.77148947	8.882643049
MRPL22	8.366322214	8.370687407	8.357552005	8.144658243	8.361943774	8	8.262094845	8.370687407	8.164906927
CEP85	7.46760555	7.562242424	7.339850003	7.21916852	7.434628228	6.794415866	7.189824559	7.357552005	7.266786541
CDYL	8.357552005	8.353146825	8.17990909	8.84862294	8.383704292	7.95419631	8.13442632	8.144658243	8.159871337
TGOLN2	8.082149041	8.113742166	8.087462841	8.124121312	7.977279923	7.636624621	8.144658243	7.864186145	7.912889336
GOLPH3	8.74819285	8.787902559	8.717676423	8.588714636	8.836050355	8.550746785	8.62935662	8.703903573	8.550746785
NDUFA4	8.672425342	8.392317423	8.330916878	8.348728154	8.321928095	7.46760555	8.257387843	8.370687407	8.194756854
R3HDM1	7.562242424	7.651051691	7.426264755	7.539158811	7.357552005	6.882643049	7.357552005	7.531381461	7.577428828
SLC38A5	7.839203788	7.761551232	7.845490051	7.584962501	7.906890596	6.965784285	7.459431619	7.741466986	7.562242424
CLEC16A	7.727920455	7.741466986	7.707359132	7.651051691	7.741466986	7.285402219	7.665335917	7.707359132	7.531381461
FBXL12	6.672425342	6.768184325	6.397460726	6.462706751	6.475733431	6.48703608	6.339850003	6.700439718	6.452858965
INTS2	7.06608919	7.108524457	6.930737338	6.845490051	7.159871337	6.87036472	6.87036472	7.098032083	6.87036472
LANCL2	5.221103725	5.061776198	5.193771743	5.375039431	5.044394119	3.64385619	5.274261661	5.40599236	5.026800059
CENPM	7.238404739	6.988684687	6.95419631	7.417852515	7.044394119	6.768184325	7.285402219	7.055282436	7.159871337
RIOK1	7.303780748	7.434628228	7.209453366	7.426264755	7.21916852	6.794415866	7.22881869	7.257387843	7.266786541
PANK1	7.06608919	7.139551352	6.882643049	6.820178962	7.129283017	5.809928866	6.741466986	6.965784285	6.87036472
RPP30	6.509379149	6.290940402	6.300123725	6.477353527	6.277984747	6.459431619	6.318316841	6.359310317	6.133399125
ATP6V1F	5.683696454	5.232660757	5.074676686	5.388878339	5.478971805	4.862947248	5.43629512	5.703211467	5.197708158
DCUN1D5	7.741466986	7.686500527	7.672425342	7.73470962	7.569855608	6.623515741	7.442943496	7.807354922	7.531381461
RABGGTB	5.87282876	5.840463234	5.551516018	5.746850183	5.725195817	5.649615459	5.614709844	5.842978832	5.292781749
CIZ1	2.925999419	3.263034406	3.336283388	3.070389328	2.944858446	0	2.906890596	2.584962501	2.867896464
INO80C	6.098032083	6.357552005	6	5.899659026	5.902073579	5.504620392	5.904484098	6.068240861	5.970393538
FCF1	5.776103988	5.961160258	5.733354341	5.730639956	5.807354922	5.193771743	6.002252452	5.711494907	5.581953751
HGSNAT	5.14974712	5.409390936	4.867896464	4.608809243	4.802193217	5.232660757	4.882643049	4.566815154	4.95419631
MAPK9	5.587964989	5.807354922	5.385431037	5.412781525	5.623515741	4.921245889	5.560714954	5.412781525	5.392317423
CABIN1	5.357552005	5.517275693	5.475733431	5.263034406	5.161887682	5.078951341	5.697662633	5.177917792	5.232660757
FAM177A1	6.362820526	6.526694846	6.517275693	6.592457037	6.325530332	5.799605422	6.474111514	6.510961919	6.394033895
RPS29	6.089582893	6.022367813	5.678071905	6.14974712	5.894817763	5.789207575	6.261154673	5.867896464	6.261154673
GPAM	4.491853096	4.321928095	4.478971805	4.285402219	4.137503524	4.560714954	4.343407822	4.472487771	4.129283017
SLC39A1	2.608809243	3.307428525	2.944858446	2.944858446	2.744161096	3.700439718	3.185866545	2.765534746	2.786596362
PRMT9	3.837943242	3.185866545	3.5360529	3.432959407	3.247927513	0	3.765534746	3.247927513	3.247927513
USP3	4.560714954	4.177917792	4.185866545	4.378511623	4.193771743	3.350497247	4.432959407	4.177917792	4.596935142
DDX5	11.09737377	11.08414401	10.91513245	10.98085361	10.97369737	10.58965115	10.77396337	10.98085361	10.86959384
EIF5A	11.02997735	10.93737382	10.83841608	10.83841608	10.94471206	10.38909352	10.52258153	10.98085361	10.72366094
HNRNPA3	10.37829486	10.51274046	10.36741475	10.16867212	10.45224124	9.961449694	10.26561505	10.34540525	10.16867212
HMGCS1	11.16176174	11.17430154	10.71510401	11.34485068	10.96650545	10.66266838	10.86186234	10.98797452	11.09737377
RPS4X	11.22339841	11.13635034	10.93737382	11.13635034	11.07079181	10.7903485	10.82257083	11.03686045	10.9225844
RPL6	10.91513245	10.95201316	10.78217919	10.95927751	10.7903485	10.4314976	10.62662165	10.76570049	10.74062404
PPP1R8	9.64385619	9.611024797	9.535275377	9.447083226	9.620219826	9.116343961	9.2644426	9.645658432	9.400879436
RPL10A	10.59898297	10.5028318	10.47269084	10.69783636	10.38909352	10.38909352	10.52258153	10.45224124	10.61746747
RPL31	10.30035256	10.26561505	10.03754695	10.56128795	9.995767151	10.09143539	10.20579325	10.00982862	10.37829486
AATF	8.243173983	8.113742166	8.214319121	8.276124405	8.022367813	8.033423002	8.353146825	8.159871337	8.28077077
TTC4	7.851749041	7.960001932	7.693486957	7.622051819	7.721099189	7.636624621	7.442943496	7.727920455	7.592457037
STARD7	8.189824559	8.092757141	7.888743249	8.016808288	8.033423002	7.700439718	8.022367813	7.965784285	7.888743249
RIOK2	7.826548487	7.95419631	7.787902559	7.948367232	7.888743249	7.693486957	7.87036472	7.74819285	7.73470962
COG8	7.294620749	7.46760555	7.417852515	7.169925001	7.426264755	6.794415866	7.417852515	7.330916878	7.087462841
BCL7B	5.017921908	5.01346226	4.770829046	4.986410935	5.026800059	3.944858446	5.044394119	4.465974465	4.812498225
UFC1	6.651051691	6.754887502	6.658211483	6.741466986	6.534497434	6.205548911	6.432959407	6.727920455	6.700439718
URB2	6.259272487	6.334496768	6.238404739	6.118941073	6.338067798	5.860466259	6.203592714	6.224966365	6.048759312
CD48	8.388017285	8.392317423	8.357552005	8.238404739	8.348728154	7.8008999	8.06608919	8.266786541	8.17990909
SENP3	6.658211483	6.741466986	6.700439718	6.474111514	6.845490051	6.404290064	6.807354922	6.768184325	6.449561375
SUV39H1	4.03562391	4.608809243	4.426264755	4.378511623	4.350497247	3.655351829	4.263034406	4.584962501	4.177917792
NPM3	6.627898616	6.263034406	6.399171094	6.636624621	6.416164165	5.504620392	6.323730338	6.501439145	6.566815154
TIMMDC1	5.942514505	6.114783447	6.139551352	5.675251386	6.002252452	5.727920455	5.82527683	5.923624611	5.736063628
NDFIP1	7.321928095	7.366322214	7.276124405	7.366322214	7.159871337	6.918863237	7.499845887	7.285402219	7.392317423
HECTD3	2.847996907	2.887525271	3	3.10433666	2.847996907	0	2.867896464	3.459431619	2.584962501
TRAPPC2B	4.64385619	4.738767837	4.649615459	4.329123596	4.791814071	3.99095486	4.523561956	4.608809243	4.439623138
INO80B-WBP1	3.321928095	3.711494907	2.944858446	2.867896464	2.944858446	0	3.754887502	3.336283388	3.321928095
RAD9A	4.749534268	4.711494907	4.626439137	4.452858965	4.504620392	5.185866545	4.578938713	4.596935142	4.270528942
THG1L	6.385431037	6.316507819	6.343407822	6.300123725	6.098032083	6.112700133	6.246027981	6.45779126	6.197708158
STX3	4.711494907	4.727920455	4.716990894	4.343407822	4.578938713	4.504620392	4.578938713	4.371558863	4.300123725
KMT2E	4.285402219	4.529820947	3.99095486	4.240314329	4.078951341	4.94016675	4.247927513	4.285402219	3.867896464
CD46	5.694880193	5.300123725	5.596935142	5.426264755	5.465974465	4.852997588	5.614709844	5.412781525	5.221103725
TNRC6A	5.54225805	5.311067102	5.339850003	5.209453366	5.10433666	4.852997588	5.325530332	5.504620392	5.141596278
RLIM	4.385431037	4.350497247	4.217230716	4.343407822	4.343407822	4.070389328	4.554588852	3.857980995	4.145677455
FKBP7	3.10433666	3	3.232660757	2.584962501	3.572889668	0	2.887525271	2.232660757	2.137503524
CSTF2T	7.741466986	7.651051691	7.62935662	7.392317423	7.665335917	7.129283017	7.577428828	7.62935662	7.426264755
RPL35	10.1176431	10.07815081	9.891783703	10.07815081	9.903881846	9.575539247	9.74819285	9.936637939	9.864186145
APRT	8.794415866	8.682994584	8.625708843	8.515699838	8.724513853	8.233619677	8.247927513	8.903881846	8.46760555
TSNAX	9.310612782	9.199672345	9.199672345	8.997179481	9.321928095	8.784634846	8.851749041	9.194756854	8.982993575
MLH1	9.381542951	9.342074668	9.202123824	9.214319121	9.303780748	8.826548487	8.885696373	9.303780748	9.118941073
OSTF1	8.73809226	8.6794801	8.581200582	8.417852515	8.77807713	8.276124405	8.511752654	8.74819285	8.45532722
MRPS26	8.781359714	8.891783703	8.74819285	8.471675214	8.951284715	8.487840034	8.6794801	8.73470962	8.562242424
GLYR1	6.540709263	6.400879436	6.437960088	6.493455201	6.314696526	5.880195729	6.474111514	6.556122818	6.28169825
MARK3	8.30833903	8.379378367	8.276124405	8.087462841	8.335390355	7.994353437	8.038918989	8.321928095	8.087462841
METTL3	6.309248961	6.407692649	6.332707934	6.369815424	6.14974712	6.04220656	6.378511623	6.102238194	6.301953395
MRPL9	8.375039431	8.317412614	8.312882955	8.169925001	8.348728154	7.924812504	8.28077077	8.28077077	8.103287808
RSL24D1	7.577428828	7.700439718	7.459431619	7.707359132	7.569855608	7.098032083	7.562242424	7.442943496	7.483815777
EAF1	8.721099189	8.714245518	8.654636029	8.727920455	8.614709844	8.214319121	8.618385502	8.707359132	8.499845887
METTL5	7.658211483	7.73470962	7.523561956	7.700439718	7.6794801	7.483815777	7.577428828	7.658211483	7.483815777
SPTY2D1	5.532940288	5.575917361	5.266786541	4.791814071	5.318316841	5.95419631	4.882643049	5.157852169	5.221103725
LAMTOR5	5.587964989	5.332707934	5.475733431	5.5360529	5.28169825	5.325530332	5.675251386	5.554588852	5.666756592
NBR1	4.399171094	4.786596362	4.590961241	4.812498225	4.711494907	4.578938713	4.498250868	4.452858965	4.364572432
FEM1B	5	4.882643049	4.491853096	4.638073837	4.672425342	4.061776198	4.472487771	4.672425342	4.765534746
LRCH4	3.64385619	4.292781749	4.201633861	4.137503524	3.935459748	4.329123596	4.240314329	4	3.897240426
COX7B	6.224966365	6.089582893	6.141596278	5.897240426	6.181897643	4.832890014	6.135452784	6.106432078	5.87282876
CPEB4	7.044394119	6.930737338	6.781359714	6.794415866	6.794415866	6.230741003	6.807354922	6.87036472	6.714245518
MKLN1	6.807354922	6.714245518	6.509379149	6.794415866	6.754887502	6.04220656	6.503030646	6.700439718	6.586464526
ETV6	3.847996907	3.64385619	3.837943242	3.963474124	3.827819025	3.44625623	4.255500733	3.733354341	3.655351829
MECR	4.847996907	4.817623258	4.608809243	4.426264755	4.224966365	5.240314329	5.137503524	4.419538892	4.602884409
TAF7	5.965784285	6.01346226	5.949534933	5.911691582	5.749534268	5.51412226	5.765534746	5.812498225	5.768184325
NCL	13.28785664	13.22143608	13.17227123	13.10345174	13.18472041	12.67308819	12.89197352	13.14226664	12.98921708
HIST3H2BB	9.216745858	9.224001674	9.296916207	9.055282436	9.152284842	8.857980995	9.116343961	9.044394119	8.985841937
RPL12	11.06406908	10.99506047	10.81458247	11.05052891	10.82257083	10.67154107	10.7984718	10.74062404	10.85408918
DNAJA1	10.64475759	10.72366094	10.37829486	10.84627391	10.48280796	10.4314976	10.57080444	10.52258153	10.72366094
HMGB2	11.49235395	11.55602699	11.63526466	11.22941969	11.34485068	10.88493365	11.28828934	11.35590164	11.26502894
API5	10.84627391	10.76570049	10.70649602	10.53235593	10.83051521	9.948367232	10.28886607	10.85408918	10.54206454
RPL23A	11.12992693	11.16804527	10.97369737	11.33371443	10.94471206	10.78217919	11.04371086	10.93737382	11.11048331
RPS11	11.2708793	11.11048331	10.89254282	11.14274528	11.09077405	10.91513245	10.63571812	11.05731488	10.89254282
RPL34	10.59898297	10.54206454	10.37829486	10.59898297	10.37829486	10.14338321	10.30035256	10.37829486	10.36741475
SRSF10	9.505811554	9.400879436	9.366322214	9.142107057	9.440869168	8.873444113	9.038918989	9.398743692	9.169925001
CCDC88C	8.95419631	9.055282436	8.77478706	8.717676423	8.977279923	8.618385502	8.888743249	8.87958325	8.724513853
RPL37A	10.1176431	10.15608308	9.831307244	10.1176431	9.915879379	9.890264277	9.663558104	9.942514505	9.824958741
ABCF3	9.403012024	9.37721053	9.189824559	9.157346935	9.292321633	8.933690655	9.082149041	9.422064766	9.144658243
PFDN2	10.33427329	10.30035256	10.10459875	10.06474276	10.35645197	9.642051693	9.828136484	10.2179577	10.07815081
SF3A2	9.87036472	9.831307244	9.726218159	9.688250309	9.702172685	8.997179481	9.30833903	9.691743519	9.5980525
MRPL46	8.233619677	8.224001674	8.17990909	8.027905997	8.21916852	7.994353437	8.071462363	8.21916852	7.994353437
RPL36	9.339850003	9.337621902	9.129283017	9.233619677	9.250298418	8.845490051	8.994353437	9.154818109	9.105908509
ESF1	8.098032083	8	7.942514505	8.17990909	7.87036472	7.622051819	7.977279923	7.845490051	8.06608919
COPS7B	6.057450272	6.187846909	6.118941073	5.923624611	6.209453366	4.392317423	6.033423002	5.860466259	5.830356747
PNISR	8.573647187	8.569855608	8.672425342	8.558420713	8.519636253	8.21916852	8.558420713	8.379378367	8.339850003
PPP2R5E	7.491853096	7.523561956	7.357552005	7.108524457	7.499845887	7.257387843	7.392317423	7.330916878	7.21916852
CKS1B	8.930737338	8.882643049	8.73470962	8.933690655	8.703903573	8.573647187	8.751544059	8.651051691	8.784634846
CMIP	7.592457037	7.515699838	7.22881869	7.592457037	7.475733431	7.238404739	7.741466986	7.375039431	7.366322214
GFER	4.694880193	4.277984747	4.232660757	4.217230716	5.083213368	3.733354341	4.797012978	4.277984747	4.061776198
KIF20B	7.781359714	7.781359714	7.562242424	7.665335917	7.554588852	7.139551352	7.707359132	7.475733431	7.54689446
UMPS	7.491853096	7.033423002	7.622051819	7.900866808	7.266786541	7.22881869	7.826548487	7.515699838	7.813781191
CHD1L	7.169925001	7.266786541	6.977279923	7.022367813	6.930737338	7.515699838	6.965784285	7.022367813	6.942514505
MRPL28	6.965784285	7.257387843	7.14974712	7.118941073	6.894817763	6.87036472	7.238404739	7.139551352	7.169925001
PTTG1	6.213347282	6.14974712	5.855491443	5.906890596	5.958842675	5.725195817	5.923624611	5.906890596	5.923624611
SYCE1	6.155830172	6.417852515	6.193771743	6.432959407	6.03562391	6.266786541	6.474111514	6.078951341	6.189824559
TSR2	5.666756592	5.741466986	5.744161096	5.364572432	5.491853096	5.193771743	5.752213368	5.43629512	5.439623138
EMC10	6.578938713	6.563768278	6.261154673	6.345183447	6.437960088	5.892391026	6.424586226	6.441284272	6.336283388
SFT2D3	5.449561375	5.675251386	5.617651119	5.678071905	5.419538892	6.050936965	5.652486495	5.277984747	5.449561375
GALT	4.504620392	4.412781525	4.232660757	3.935459748	4.026800059	0	4.364572432	4.209453366	4.357552005
TOR1A	6.462706751	6.517275693	6.521992956	6.424586226	6.348728154	6.106432078	6.551516018	6.303780748	6.238404739
POLR2L	6.469234794	5.95419631	6.004501392	6.334496768	6.112700133	1.584962501	5.82527683	6.285402219	6.114783447
EEF1D	10.90011206	10.91513245	10.6891244	10.86186234	10.78217919	10.39981196	10.64475759	10.74903138	10.66266838
RPS14	9.727920455	9.768184325	9.586839788	9.556506055	9.658211483	9.403012024	9.394462695	9.562242424	9.48984796
RPS16	11.44656641	11.36686859	11.14274528	11.34485068	11.22941969	10.76570049	11.02306125	11.20518233	11.12992693
G3BP2	8.357552005	8.317412614	8.233619677	8.14974712	8.344295908	7.820178962	8.103287808	8.199672345	8.082149041
RRP15	9.353146825	9.278449458	9.194756854	9.182394353	9.292321633	8.339850003	8.807354922	9.116343961	9.038918989
RRP36	7.417852515	7.330916878	7.22881869	7.087462841	7.348728154	7.011227255	7.169925001	7.266786541	7.087462841
CMPK1	8.918863237	8.689997971	8.77478706	8.864186145	8.622051819	8.483815777	8.6794801	8.927777962	8.861086906
FPGS	7.06608919	7.257387843	6.95419631	6.714245518	6.87036472	6.459431619	6.894817763	6.906890596	6.832890014
SSNA1	8.503825738	8.503825738	8.28077077	8.199672345	8.495855027	7.577428828	8.290018847	8.426264755	8.262094845
TRIM26	6.977279923	7.14974712	6.781359714	6.857980995	6.781359714	5.885086225	6.754887502	6.87036472	6.741466986
CD97	7.209453366	7.21916852	7.14974712	6.882643049	7.21916852	6.635173947	7.033423002	7.129283017	6.977279923
TANK	7.584962501	7.912889336	7.727920455	7.189824559	7.900866808	7.339850003	7.426264755	7.754887502	7.17990909
ASPSCR1	7.257387843	7.276124405	7.247927513	7.357552005	7.159871337	7.033423002	6.942514505	7.209453366	7.033423002
PDCD7	4.705977902	4.770829046	4.911691582	4.797012978	4.754887502	3.963474124	4.921245889	4.566815154	4.54225805
