Gene	"Gr2_F2: 128N, Control, 781"	"Gr1_F1: 128C, Sample, 4"	"Gr1_F2: 126, Sample, 1"	"Gr1_F1: 126, Sample, 1"	"Gr1_F3: 128C, Sample, 4"	"Gr1_F2: 128C, Sample, 4"	"Gr2_F1: 128N, Control, 781"	"Gr2_F3: 128N, Control, 781"	"Gr1_F3: 126, Sample, 1"
HSP90AB1	13.29265236	12.48879415	9.95956732	9.969098673	12.71250551	12.54411923	13.13791972	13.10440219	9.942954284
HNRNPM	11.38284014	12.33035672	12.17186482	12.36386098	12.14532718	12.13169622	11.49135207	11.50923068	12.19881334
MS4A1	13.07998471	12.98051449	13.91334759	14.09987377	12.87200147	12.78804535	13.07477702	12.98653537	13.98703302
MAP4	13.14519979	12.76625972	13.4243369	13.1944183	12.53862546	13.01600734	12.97466553	13.11471839	12.93796226
SRRM1	13.07429201	12.99735593	12.2275257	12.14758654	13.30156764	13.04090613	12.87365558	13.02391026	12.4590217
DNM1L	12.18849612	11.88881934	13.12958891	12.93487029	11.86298598	12.08384494	11.94082744	12.16578635	12.92232423
LSP1	12.51661109	12.75085351	13.27629891	13.37372161	12.63578613	12.66522487	12.64880695	12.67295565	13.27273183
SRRM2	12.99120294	13.03462704	13.53953446	13.59049349	12.63768903	13.04145382	12.98809883	12.97384084	13.14280908
TPD52	10.08201595	11.49889906	12.03345742	12.22996037	11.38019047	11.22821744	10.09288925	11.075546	12.16481267
HMGA1	12.59014257	11.89436306	8.638073837	9.047396608	11.56705292	11.5056131	12.74565332	12.85930182	8.45532722
EIF5B	12.14974712	12.17280251	11.64525312	11.95808141	11.92562861	11.94339393	12.48051254	12.26065496	11.72630332
PABPN1	12.2820459	12.1544384	12.48303478	12.61716898	12.30446541	12.07945145	12.35928286	12.2732711	12.7609486
NUCKS1	11.82777934	11.77824144	8.399598369	8.810250286	11.91236544	11.0558247	11.59614316	12.13416959	8.899961067
HDGF	11.98687308	11.95623094	11.36654079	11.2586838	12.22185896	12.08988078	12.00232278	12.56445915	11.53050388
RPRD1B	12.02122291	11.82527683	11.60904019	11.26414934	12.07196507	12.14984236	11.75784833	12.23317026	11.55007337
ABLIM1	11.53488646	11.85342653	11.78254781	12.15791531	11.57563378	11.59376459	11.76818432	11.91083008	11.92135748
THRAP3	11.7483606	11.96116026	10.48421871	10.50670428	11.66724463	11.82690594	11.90959312	11.92035286	10.14491311
EVL	12.0276987	12.10937362	12.92009228	12.74392977	12.32962818	12.27775234	12.37935129	11.99449487	12.99665002
CDK1	12.05029082	11.85976771	12.66928371	12.30648896	11.77421053	12.16258015	12.07317086	12.1281877	12.29691621
NOLC1	12.5911483	12.90258238	13.07240061	13.2591842	12.59623635	12.76005457	12.84128915	12.68693817	12.94016675
MYH9	12.41806342	12.79628301	9.143893361	9.001971088	12.65977296	12.70336289	12.82215254	12.53935271	9.180406485
SUGP2	10.05609576	11.15044544	11.77918584	12.05059692	10.74668226	10.86054385	10.47390865	10.68053534	11.59521085
LSM14A	12.10567939	12.29387394	12.65957229	12.68689441	12.40357131	12.32533357	12.32364591	12.25900761	12.78123675
ARFGAP2	11.05236427	10.86038866	11.14917552	11.34756601	10.68580002	10.61332905	11.1792871	11.12386274	11.20542673
ACLY	11.70269217	11.6648028	11.84729229	12.16901677	11.8872587	11.36457243	11.64403652	11.99368144	12.41909114
BCLAF1	12.11136393	12.04640784	12.87455877	12.75666056	11.93324804	12.13073143	11.8965973	12.20826485	12.69498898
EIF3CL	11.96235381	11.71686232	9.984276034	10.40237258	11.42726046	11.45327063	11.70848041	12.02257588	10.04138537
CANX	12.48686016	12.57664968	9.175424799	9.03534898	11.96578428	12.18991719	12.34179677	12.15171424	8.71596199
RBM39	12.19337135	12.27009088	12.85042128	12.86720151	12.22953986	12.20013231	12.1272528	12.24359054	12.89982893
ACIN1	11.3462921	11.57582284	11.93777839	11.93527557	10.71518983	11.60867066	11.52027491	11.11751324	11.04630552
PNN	11.80009099	12.01395071	12.04685117	11.99453023	12.11877889	12.11933024	11.51845646	11.59916899	12.12231034
PPP1R2	10.55209267	8.622783966	9.221345444	9.246740598	9.143128073	8.678071905	10.41510794	10.49635449	9.621868725
CHD4	11.49585503	12.08603668	11.18295295	11.39601602	11.42526836	11.94174457	11.80509895	11.69644598	10.76925933
TERF2IP	12.00523856	11.72983314	12.58273004	12.45020603	11.5803528	11.95455985	12.07531201	11.92105989	12.24546357
PPP2R5D	10.75663971	11.12850994	12.02966683	12.21504757	10.98626871	10.95739229	10.87459719	10.86124203	12.0788513
TPI1	12.17026935	12.18512321	13.80721403	13.35694709	12.16500118	12.68615032	12.27003246	12.12373344	13.31147871
ATXN2L	12.01478766	11.72979066	11.43139313	11.62798978	11.5658637	11.53944965	11.868321	11.82706478	11.4582528
ARHGEF6	10.22496637	10.72783539	11.32316738	11.3858624	10.64916634	10.64529816	10.66923941	10.70234587	11.4033849
LCP1	11.13102093	11.44206227	9.874827698	10.20065344	11.43848	11.17642251	11.21437984	11.05358654	10.18202184
AP3B1	10.51983279	11.01262454	8.198199455	8.209453366	10.97219004	11.06897976	11.2939314	11.11341661	7.976134473
CLASP1	11.03211462	11.44356521	10.09288925	10.34496161	11.24840201	11.30309576	11.38273209	11.3603533	10.12760749
NCL	11.92243574	12.151302	10.72536626	11.32130805	11.65271055	11.50054315	11.77371617	11.93472289	10.85408918
HLA-A	10.58908931	11.01708677	11.33606018	11.26666943	10.92288168	11.13865579	10.64556837	10.76826705	11.09097249
EEF1D	11.95695689	11.92911043	12.22905912	12.18595944	12.05205853	11.96188374	12.06460805	11.96542357	12.30241045
SAFB	11.03644839	11.574357	11.44961296	10.8701335	11.55233288	11.98363495	11.44992242	11.56914358	10.63462957
PCM1	11.14319186	11.22406199	11.52947936	11.67282309	11.00534384	11.03981011	11.42353615	11.59039992	11.42919749
BOD1L1	10.76321237	11.74129844	9.114783447	9.369379235	11.81161552	11.62744269	10.40023904	11.54438492	9.77099418
SEPTIN2	10.85190517	11.56209929	11.57426238	11.636534	11.5651973	11.55098721	11.08494123	11.04104307	11.61893604
SRSF6	11.45650843	11.37981154	12.03097743	11.7645399	11.3380678	11.62607404	11.6679542	11.77049872	11.75434472
PAICS	10.37188552	10.14580481	11.57577558	11.22454439	10.21006248	10.50997289	10.86913112	10.76826705	11.23858387
HDAC1	11.10197567	10.91975719	11.39221008	10.92325319	11.2241223	11.31876874	11.56652978	11.64939092	11.18270471
DAXX	10.71767642	11.13551691	11.02762959	11.31848632	11.22146629	10.87275182	11.07132828	11.27833329	11.37101426
SLTM	11.17067621	11.57624813	11.7515859	11.84827083	11.22538821	11.4168503	11.32794554	11.27292133	11.58604224
PNISR	11.42437627	11.79100005	12.37745457	12.58850384	11.37036048	11.58072965	11.73114929	11.5526691	12.16424701
PCBP2	10.84627391	11.04165915	11.74706006	11.86778066	10.89352907	10.8485447	10.90199819	10.82964346	11.73479428
TCEA1	12.03318207	12.19933494	9.845490051	11.11984896	11.92120869	10.92570278	12.87812757	12.02181282	10.83439204
POU2F1	11.69618513	11.64997465	11.58091804	12.11731843	11.41727237	11.11562894	11.21188829	11.58072965	11.90033853
TPD52L2	11.11054856	10.80864247	11.27932039	10.91146689	11.53814042	11.1958028	10.5874025	11.20163386	11.68676313
RANBP3	10.97441459	11.03438631	10.80477638	10.87697731	11.20365389	10.9383299	11.14828591	11.13935949	10.95623094
CSNK2B	10.55228484	10.99272595	10.56643465	10.57440431	10.90493562	11.1776064	10.36708708	10.4879405	10.24662185
SON	11.16440416	11.02195159	12.04818032	11.70035302	11.24376903	11.32901144	11.60232771	11.47694867	11.97645672
DENND4A	10.53935271	11.10531927	11.53474059	11.60552582	10.16302064	11.04473563	10.54621924	10.95942242	10.61608931
LMO7	10.73369328	10.66426949	11.42904053	11.01339247	10.86913112	11.10878579	10.49215363	10.68842517	11.14675958
LARP4	11.47699929	10.82376528	11.03383593	10.72868583	11.36177932	11.01255471	11.21874485	11.4875386	11.34251919
TP53BP1	11.30833903	10.73851453	11.32738423	11.55875552	11.22086197	10.53274553	10.50640677	11.19044202	11.95557726
CHAMP1	11.17355222	10.32429308	10.02042442	10.2392405	10.14108532	10.14898493	11.41325769	11.54201616	10.08494123
LRWD1	11.7248975	11.97663572	12.3345247	12.6144798	11.86940106	11.65914857	11.86085419	11.77351014	12.55178035
TJP2	11.14274528	11.13583752	11.55617073	11.89776984	10.85906882	10.83817968	10.79782362	10.77016832	11.5085376
RCC1	12.02645428	12.01108745	12.28560451	12.36957008	12.16280041	11.93424373	11.66155544	11.53760669	12.50148891
ABCF1	10.79417215	9.979853867	8.955940451	9.509972891	9.606960345	9.496054832	10.94156119	10.86395393	9.167669028
EIF4G1	10.89163183	10.49095113	10.71750507	10.87644021	10.49755249	10.26279957	10.63970247	10.91759585	10.97118427
U2SURP	9.007868243	10.38801729	11.1970938	11.51762018	10.42238019	10.0826813	9.942367883	10.10381233	11.65163475
SRPK1	11.36665006	8.600284623	5.255500733	5.449561375	8.153298683	8.312429206	10.93891795	11.19635623	5.526694846
UBE2J1	10.72434331	11.20353154	12.07129475	11.91934753	11.23726972	11.42752237	11.45794512	11.10911239	11.96253456
THUMPD1	11.47851685	11.73631736	8.421223299	9.38024459	11.54269335	10.90327934	11.61415769	11.32232253	9.076281167
REPS1	9.176671834	9.822889447	7.745506266	7.667466405	9.780375722	9.80880333	9.724513853	10.22701419	7.473299871
CARHSP1	11.47892126	11.38715572	11.71776209	11.61051737	11.13916761	11.56138342	10.69939894	11.5628625	11.42090762
CAD	11.15203127	11.82877119	11.96426866	11.73847231	11.72293558	12.06978539	11.24590918	10.75922243	11.64961546
CLASP2	11.08181628	11.73881005	10.2046934	10.38564674	11.30549179	11.56410184	11.06002035	11.0026744	10.05080096
SLC38A1	11.05772102	11.33767765	9.113221243	8.858291887	11.15507119	11.51663571	10.48854313	10.76826705	8.773798574
TCOF1	11.36823361	11.45321918	8.175923742	7.809928866	11.97006993	11.98085361	11.61893604	11.71192504	8.31152128
PRKRA	10.3814348	10.95215881	10.14402087	10.13570929	10.97871046	11.1048608	10.71955995	10.66640155	10.06191117
CXCR4	9.818741936	9.532550739	9.602884409	9.608624459	10.20762447	9.719902144	10.01122726	9.807837886	10.27670602
CD74	10.33226038	10.52091328	10.94858625	11.0860035	10.28794319	10.41151099	10.51599544	10.40949701	10.93169783
SF3A1	10.02928723	10.89345323	8.397032817	8.279378431	10.68044744	10.99696772	10.54699089	10.96614491	8.066627409
EPB41L2	11.27995874	10.90531178	11.78932986	11.48285836	11.0191737	11.17997127	10.55909024	10.97118427	11.6652915
IQSEC1	11.39102873	11.53196622	12.07199858	11.98121049	11.27385387	11.67520727	11.10531927	11.04350582	11.74554828
SKIV2L	11.71853288	11.47390865	11.72391687	11.6701251	11.57757045	11.58289466	11.52952816	11.48984796	11.72821815
PLIN3	10.83841608	10.22243267	11.24347154	11.01409023	10.52091328	10.50739824	10.59888995	10.81233777	11.20181762
KLC1	11.41373369	10.84690069	10.72331964	10.4705572	10.94559015	11.19358696	11.11113567	11.05188866	10.54167745
SLC16A1	10.98213797	11.76462283	11.02014657	10.79944353	11.29599846	11.94233122	11.23846445	10.80211242	10.27041214
DDX21	10.02014657	8.525520809	6.334496768	5.307428525	9.164655564	9.126446365	9.6387979	10.45079885	6.087462841
RPLP0	10.97871046	10.09222858	10.30069575	10.17105167	9.978424465	10.31673407	10.95535931	11.00702727	10.01290383
NRDC	11.34823021	11.43822007	11.11692872	11.3278333	11.36145037	11.24192358	10.87252098	11.05365442	11.29249419
RPS6	11.6209071	11.10904708	10.69583726	11.18790875	11.24881706	10.85229541	9.321026129	11.23720996	10.9028273
PCBP1	11.40551379	11.74037107	12.11149434	12.24463142	11.56985561	11.60770019	11.58997878	11.4168503	12.03898756
ZC3H14	10.70528679	11.49400551	11.95764622	11.88046361	11.35226417	11.51584765	10.9441996	10.87236707	11.8482317
ACAP2	10.40237258	10.40205275	11.2550876	11.23667199	10.6128685	10.30640352	10.48290877	10.53128398	11.39022271
SNAPIN	10.49075062	11.04446243	11.41336348	11.59954097	10.78111378	10.93531241	10.94302757	11.06703094	11.25171909
RBM12	10.99696772	11.32749651	10.61682449	11.5467498	10.70571877	10.56824116	10.54988091	10.91849059	10.83296911
MFAP1	11.95241366	11.45244718	11.9708249	11.58317681	11.43290723	11.9199806	12.2620361	11.68601896	11.47340135
PCF11	11.30166766	11.31820384	10.2046934	10.32294213	11.30919211	11.21747308	10.95673915	11.15139715	10.27169645
RCSD1	10.89163183	10.51855481	9.107217076	9.360408175	9.399171094	10.43201985	10.4708622	11.27717114	8.303780748
SMARCC1	10.91565534	11.24733418	9.8587581	9.634266534	11.6310406	11.29019168	10.68903702	10.71861849	10.09420967
HSP90AA1	9.312429206	10.95652136	6.607330314	7.424586226	10.12928302	9.990387652	11.00814846	10.4427362	7.438791853
PKN1	10.69348696	10.49365534	9.143383214	9.148984931	10.90891796	10.58824615	10.64223224	10.91393656	9.66231233
FASN	10.71295682	10.1544384	10.52728151	10.62260096	9.816183681	10.08068431	11.09961081	10.94917013	10.30241045
PSMA3	11.17910046	11.20579325	6.94016675	6.719731057	11.05920924	11.11211366	11.16741815	11.23218106	6.549977143
PRPF4B	11.15671514	11.11015702	9.572889668	8.951867504	11.43983088	11.67978796	10.43879185	11.43951925	9.356011722
EIF4B	9.569855608	10.69696753	9.633358551	9.988826677	10.35204343	10.50640677	10.20457114	10.1895775	9.673839056
ZMYND8	11.55262107	9.829247043	7.400025518	6.937815169	10.98584194	11.22785657	11.22947977	11.09440763	8.083745237
RSL1D1	11.53074771	11.18778506	11.27052894	11.30981738	11.24679997	11.17486328	11.57355252	11.50516646	11.41663921
PPIG	11.97713679	11.20010165	8.442114122	8.519243094	11.51224664	10.84062059	11.54337021	12.28733723	9.027076623
UBE2T	10.40748022	10.25408378	9.722807531	10.0672999	10.46852223	9.878510785	9.928370323	10.30206767	10.43733595
TOP2A	8.642051693	9.263738675	7.117902789	7.016808288	8.809607374	9.002533761	8.968378801	8.871597266	6.690696444
HTT	10.90546222	10.712527	9.887220615	10.0026744	10.13506795	10.45861167	10.68693817	10.79871479	9.454299294
GMPS	11.11315611	8.698704667	7.758223215	7.794415866	8.089053172	8.816983623	10.97003397	11.17186482	6.754887502
RBM17	11.10368122	11.364463	11.53649007	11.73449794	11.08194939	11.26620091	11.20218506	10.90124403	11.42111808
BCL6	9.784634846	10.05799172	10.95026427	10.54882191	10.09816371	10.47390865	9.95419631	10.07065766	10.61406564
C9orf78	11.1017131	10.57089929	8.277984747	7.815063017	11.34584874	11.07981809	11.38597022	11.22297598	9.33650656
RBM10	8.91318862	10.79287162	9.839833648	9.833996921	10.91146689	10.86178482	9.022090345	9.01346226	9.77099418
ARHGAP15	9.623515741	9.332931659	8.655709596	9.48723711	9.187599513	8.345183447	9.381759231	9.228337712	9.459431619
ATRX	10.3967118	10.03987864	7.483009577	7.160879862	10.31367667	10.2422214	10.43462823	10.96014677	7.067165427
LAMTOR1	9.820976693	9.689299161	10.70121981	10.57865573	9.584398838	9.797985691	9.325979979	10.56672004	10.62935662
HNRNPH1	10.54747296	11.12023788	10.15050891	10.48472221	11.15329868	10.58937026	10.72843075	10.88737295	10.70026631
SRRT	10.78871833	10.57345785	10.76785339	10.14834947	11.27571714	11.21565433	10.67921617	10.72553668	10.85767004
ARHGAP25	10.48331195	10.61240779	10.49725308	10.81113382	10.46607646	10.33248417	10.27798475	10.5685262	10.73775435
SF1	10.93855045	11.27105444	11.38148888	11.35590164	11.32597998	11.27058734	10.84846646	10.78152365	11.41690306
SET	11.64137442	12.09645162	11.13423378	11.13660668	12.20954475	12.0164601	11.60353362	11.45697038	11.28401434
CUL4A	10.29576893	10.63072216	11.86104812	11.68268741	10.62926554	10.77148947	10.49535539	10.33270793	11.72962074
ARID1B	12.03754695	11.47618927	12.62609686	12.43668552	11.51574911	11.56824116	11.7320402	11.84062059	12.54619512
MED1	11.44553222	10.61856904	10.55295722	11.49595493	9.986979709	9.90147032	11.49325504	11.13628625	10.95325069
PPP1R12A	11.37150441	11.37482214	11.41700859	12.07821754	11.4738072	10.82049811	11.25254717	11.18704271	12.22028763
CCNK	10.41605858	11.18518517	7.121015401	7.903881846	11.37520238	10.24198315	11.14051027	11.31044237	7.883865155
RALY	10.84525481	11.46684121	11.66311331	12.11647393	11.27391213	11.05073295	10.88111396	11.29352913	11.96394367
GPATCH8	11.2337994	11.43733595	11.35314683	11.54901451	11.39938475	11.39070637	10.97053734	11.12947622	11.48421871
NUP153	10.94851325	10.24102977	11.30040976	10.76180052	11.0760807	10.87267488	11.00478226	10.87881728	11.4934552
HDGFL2	10.36905201	10.76013776	10.40652392	10.81770319	11.17036325	10.33058081	11.03713509	10.91191624	11.25041686
TTC7A	11.02236781	9.736063628	9.936343481	10.02610842	10.60723783	9.550169592	10.47319838	10.62287546	10.98092499
NPM1	9.676309727	10.06514682	10.47978026	10.32102613	8.804131021	10.18363538	10.04848687	9.827501495	9.317412614
PTPN7	11.31718647	11.24662185	11.76017936	11.6424579	11.32817001	11.34224138	11.2422214	11.01346226	11.77980142
CLASRP	10.9424412	11.10236944	11.10302548	11.20371505	10.88096096	10.92755576	10.99576715	11.23457796	10.97806689
PPHLN1	11.33164476	11.19210784	11.61930296	11.45973898	11.14555009	11.30258181	11.3586512	11.10518829	11.50779464
KLC2	10.82376528	11.18691895	11.65615668	11.74108772	10.89822347	11.14574113	11.39730028	11.13929553	11.46199095
LRIF1	9.735556024	11.06427122	10.14771372	10.63335855	9.833048196	10.69078373	10.36927017	10.05758565	9.393175914
JCHAIN	10.07988474	10.28401434	10.96354637	11.11002648	9.98982022	10.12747852	10.22544847	9.948659246	10.87428979
ZNF385B	10.28111864	10.09447361	9.921692198	10.65167959	10.45973898	9.463728707	10.36719631	10.55257304	10.90598863
SPN	11.325193	11.3116348	10.20762447	10.42846486	10.94807516	11.09262502	11.15304529	10.80936621	10.14516794
CDK17	10.02804418	10.47927503	10.97928228	11.07293648	10.57430969	10.37242979	10.31413003	10.52649924	11.21832105
U2AF2	12.56769469	12.55041012	12.15864124	12.81916122	12.37106873	11.87578774	12.41582098	12.35118771	12.63129076
SPAG9	10.412464	10.1048608	9.019312726	9.790022611	10.57572832	9.401519544	10.28990361	10.43639924	10.37851162
MTFR1L	11.03383593	11.29863541	11.86426354	11.91356264	11.04984855	11.29536717	11.25047608	11.47426365	11.61305274
LEO1	10.75045577	10.62808095	6.330916878	6.224966365	10.98989116	10.57638986	10.71587622	11.06837523	6.902073579
CCAR2	10.78111378	10.59469783	10.60760773	10.73089465	10.54332188	10.44687652	11.05107296	10.72996056	10.62342429
HCLS1	10.75012075	10.61452582	11.31718647	11.08527327	10.80493767	10.86480519	10.40705528	10.67472192	11.22219114
ANKRD17	10.06514682	10.10747865	9.692615502	9.488040952	9.888438851	10.09473751	9.715104009	10.34440688	9.416586438
LARP4B	10.28158235	11.03981011	10.11270013	10.03850752	10.72092824	11.20609861	10.60492382	10.994707	9.78496195
RBM25	11.17305246	11.30594773	10.50838903	10.87567257	11.27344595	10.82408363	10.72297825	10.94104761	10.83233624
PSMD2	10.25455625	9.491452292	10.88889542	9.231941148	10.1142629	11.04555491	10.1063012	10.6265304	9.910192989
YEATS2	9.95259566	11.46811489	11.57326848	11.80550206	10.91699905	11.26086074	10.01038824	10.54332188	11.28256722
PRCC	11.22237229	10.86286978	9.706323333	9.981567282	10.39799543	10.65722912	11.14637775	10.7903485	9.376342483
RPS3	9.898903649	10.05623126	9.739274312	9.842821735	9.612315635	9.896332404	10.35446979	10.46709603	9.354469792
ZC3H18	11.64804294	10.891404	11.36123102	11.1864857	11.16276895	11.12004343	11.19253941	11.19924291	11.42532082
RASAL3	9.763876285	9.041385369	8.865423978	9.063125393	10.2911707	8.693138438	10.08174972	10.27076252	10.44107673
SH3KBP1	9.393175914	10.0243086	9.642232244	9.726047819	9.815703503	10.0313566	9.539158811	9.628627802	9.574593527
SPECC1L	10.60779264	11.09189814	11.37074189	11.36828819	10.6443971	11.05941206	10.63190459	10.79262764	10.98989116
NSFL1C	10.19672506	9.240314329	11.28401434	9.854245054	7.678071905	10.50541461	11.30850969	11.15835723	8.35974956
TBC1D4	10.13570929	10.58317681	11.14695046	11.18475139	10.65033375	10.57846704	10.33583694	10.09117089	11.29007646
PRRC2C	9.953905415	10.18115226	9.133655993	9.024031502	10.16163579	10.23995647	9.968666793	10.26748898	8.994353437
SRSF11	10.74079267	11.35705709	8.121015401	8.756222713	11.46892945	11.0863353	10.87421293	10.79928162	8.36719631
SUV39H1	10.94434603	10.38197548	11.35033149	11.50293123	10.33884778	10.42153891	10.95383268	11.00576488	11.39108245
PGM2	10.92102268	11.44837446	11.95245006	11.69183074	11.66782118	11.74848639	10.90846768	10.86820523	11.9417079
PARN	9.046032615	9.465770449	9.493455201	9.691045553	9.990387652	9.349170631	9.273795599	9.765534746	10.18883607
POLR2A	10.67445712	10.76478867	11.32974029	11.41779978	10.86155222	10.72331964	10.71183902	10.80372753	11.51515774
SCRIB	9.519243094	10.51737413	10.26924359	9.87820422	10.72655878	10.85112436	9.74819285	9.827342704	10.04630552
MEPCE	10.31049918	10.75204607	11.15088965	11.27740365	10.91056778	10.58336488	10.64259328	10.63988331	11.45676509
GRK2	9.060425739	9.808481588	10.11997861	10.64448723	9.374387464	9.311294209	9.720244258	10.90959312	10.08759544
DKC1	10.65239686	10.45861167	10.7986338	10.35082871	10.86139713	11.02417006	10.91923579	11.02014657	10.67763156
CDYL	10.09434165	10.65078251	11.36839733	11.96061741	10.70968696	10.00786824	9.365228849	11.04118	11.92888844
RBM15	10.59180282	10.88851496	10.72732488	11.41325769	10.31684718	10.2423405	10.77355135	10.70813549	10.86882255
PGRMC2	9.56567333	10.31242921	9.923921676	9.914086097	10.62607404	10.29462075	9.729450805	10.58777752	10.15924065
PHACTR4	9.764374024	9.731319031	10.25726997	10.29163118	9.704595348	9.77016832	9.843292973	9.939285356	10.26760602
FMNL1	11.26567364	11.09387968	8.346513733	7.919459269	11.57322113	11.35071823	10.92851838	10.92733353	8.536830005
TBC1D1	10.51865316	10.37645102	11.51550274	11.13596574	10.26502894	10.90222435	10.63117706	10.83912504	10.91139199
MCM4	10.11335149	10.11933024	7.706668682	8.224966365	10.65696108	10.05324713	10.24055285	10.76271423	8.848935856
MDH1	10.52052047	10.8963324	12.30255325	11.84909229	11.00849865	11.33018863	11.07594705	10.97642092	11.98263713
WAPL	10.86178482	10.94858625	10.87490452	10.95724717	10.8314656	10.87728413	10.81265866	10.8920874	10.75438648
HELLS	9.032321287	9.372429792	9.082415197	7.917670434	10.19044202	10.43525354	9.293241719	9.485426827	8.86913112
PGM3	10.1587359	10.58185963	10.60455323	10.44439375	10.24353104	10.65785434	10.34218581	10.71209705	10.22665302
DHCR7	9.184379486	9.217473084	5.392317423	5.385431037	8.336283388	9.366759328	9.430452552	9.528649452	5.004501392
STUB1	10.23445821	9.991096628	8.792139552	10.18821793	9.585338154	8.614341763	9.169674512	10.46209323	9.73809226
CCDC86	10.71312871	11.00737773	11.71784775	11.57738162	10.76636326	11.13082793	11.11608399	10.9716154	11.38925489
NIPBL	10.45809897	10.1959873	10.27786855	10.12179251	10.60371906	10.55755943	10.23266076	10.62534356	10.62223489
NOP2	9.949680829	10.36347774	10.31333656	10.07881795	10.09566075	10.62406433	10.52610795	10.39274673	9.86387652
RAPGEF1	9.904634622	9.695228291	9.950847468	9.692615502	10.06635832	10.04316403	10.16817066	10.35546122	10.1463141
BCL11A	9.975991228	8.891479946	9.67224853	9.822889447	9.290710069	8.659995892	9.700439718	10.42972056	10.07908472
VAPB	8.225448469	8.832890014	8.115303806	7.460251099	7.857980995	9.199672345	8.199181549	8.173427297	6.733354341
EPB41	10.42332605	9.869902243	5.9795681	5.672425342	10.64448723	10.00870873	10.4324375	10.67074476	7.057450272
SLC20A1	9.995908446	9.910792613	7.58345891	7.247927513	9.693486957	10.03548645	9.751209288	10.1959873	7.365447589
CUX1	10.83676048	10.27321281	11.36572097	11.24786819	10.26900976	10.68255574	9.853933289	10.45953408	11.07748336
RBM33	10.83802206	10.99343378	11.42238019	11.38154295	11.32192809	11.02894204	10.79498438	10.85805872	11.82801745
CDK12	10.66799854	9.17467606	7.422064766	7.216260837	9.123604124	9.282625134	10.95594045	10.54138706	6.970393538
SEC16A	10.8482317	10.44346161	10.75421943	10.72263679	10.4807902	10.47228468	10.53245334	10.73969624	10.7390211
TELO2	10.35502067	10.49595493	10.71784775	10.59628295	10.04807812	10.65365122	10.3756911	10.71123677	10.12657542
MARCKSL1	8.77016832	10.19364856	11.2721632	11.6232871	10.18338726	9.877590894	9.147968054	8.060695932	11.52316987
MVD	10.11074429	10.62808095	11.39269308	11.00765805	10.51757097	11.16503259	10.46964182	10.68238017	10.88233736
SZRD1	10.11777295	9.381110294	10.84588203	10.03411115	10.19007157	10.06918121	10.24614677	10.40482225	10.97885343
SRSF9	10.58702738	10.5740258	11.12960501	11.03754695	10.33438503	10.71364427	10.1909358	10.60557211	10.72579227
SYNRG	10.73733186	9.250772132	9.338736383	9.723148957	9.407267764	9.0061858	10.711753	10.57459353	9.999718196
USP24	10.85284158	10.99590845	9.869902243	10.01136704	10.74525414	10.93509137	10.92020396	10.75822321	9.72417275
ZGPAT	9.872059199	10.73496359	9.705632387	10.06864394	11.01339247	10.37025148	10.09183204	9.459226676	10.43920755
IWS1	10.04739661	10.46617845	7.641690523	7.438791853	7.510961919	10.37188552	10.53478921	10.59152235	4.129283017
IGF2BP1	10.2564446	10.59339112	8.381110294	8.277054876	10.44511834	10.79425339	10.12179251	10.56681515	8.370251481
EML3	10.77124185	10.94354045	11.57860856	11.58345891	11.00379897	10.94814818	10.92866641	10.78316196	11.66551358
PHF3	10.4324375	10.78111378	10.63870741	10.91214086	10.66870774	10.50024437	10.18077942	10.3373989	10.7603873
NUP35	10.25903704	10.40269234	10.74743775	10.74634636	10.12528431	10.48169854	10.35601172	10.2643253	10.49245409
KDM1B	10.72553668	10.35446979	10.77766628	10.04412086	10.81706359	10.93221475	10.42038134	10.95215881	10.707963
PTPN22	8.208478242	9.550362015	10.30651745	10.2974895	9.425215903	9.625526212	8.919757193	9.129540618	10.12657542
CAP1	10.08560524	10.10131915	11.07975143	10.77750191	10.61406564	10.41732512	9.394248311	10.95375995	11.34823021
NDE1	10.54583326	11.08141686	10.94046043	10.99703831	10.98626871	11.08447624	10.3126561	10.70269217	10.88714444
PDAP1	10.35568145	9.908242489	6.960001932	6.730639956	9.681414125	9.931476234	9.740118043	10.53857696	7.168922782
PIAS2	9.653024179	10.28297256	11.10956951	11.23900176	9.810892912	9.990529475	9.85237345	10.23685133	10.95455985
NCOA7	9.520422249	9.969674312	8.749869427	8.993504543	9.448116305	9.751376683	9.867896464	9.810250286	8.478971805
VDAC1	9.970968661	9.153552032	10.34174119	10.22653261	9.724684374	9.269126679	10.10525378	10.50382574	10.80461507
HMGCR	9.815223165	8.768184325	10.63816436	10.01346226	9.078684546	9.354469792	10.00422047	10.3221535	10.5491108
ELF1	10.15974522	9.690696444	10.89527232	10.25207404	9.812177306	10.34207467	10.13314221	10.49295473	10.42301083
AKAP2	9.61599739	10.37166776	10.46984529	10.46791117	9.865114619	10.42185445	9.765203207	10.09921629	9.919310284
HDAC2	11.29817715	10.60492382	10.6481778	10.50054315	10.98242323	10.6407872	10.96354637	10.85689234	11.0452136
ZC3HC1	10.88073144	10.74936666	11.32721579	11.43457611	10.66435839	10.62479546	10.89708913	10.80081903	11.42815077
BRD2	11.05365442	10.60427523	10.90305334	10.88371245	11.24810547	10.50293123	10.5980525	10.55055441	11.63848117
