Gene	"Gr2_F2: 128N, Control, 781"	"Gr1_F1: 128C, Sample, 4"	"Gr1_F2: 126, Sample, 1"	"Gr1_F1: 126, Sample, 1"	"Gr1_F3: 128C, Sample, 4"	"Gr1_F2: 128C, Sample, 4"	"Gr2_F1: 128N, Control, 781"	"Gr2_F3: 128N, Control, 781"	"Gr1_F3: 126, Sample, 1"
MDP1	7.564530601	6.610286657	5.652486495	6.078951341	6.94016675	6.422905743	7.374170076	6.95070169	6.419538892
MIS18BP1	8.244601688	8.130827934	7.772149591	8.102238194	6.572889668	7.726558779	7.22881869	8.119459934	6.6043679
CHD8	8.423326047	7.184875343	8.042753761	7.483009577	7.951284715	7.981281854	7.849874194	8.257387843	8.307428525
EHMT1	7.403438163	8.379378367	8.287250643	8.6387979	7.754219433	7.976707312	7.691394579	8.113221243	7.885086225
CAMSAP1	5.655351829	7.269594252	5.988684687	6.630813152	7.153805336	6.512542955	7.070389328	7.529820947	6.510961919
SHC1	7.166916252	8.187846909	6.75087444	8.089053172	8.529430554	6.929554316	6.649615459	7.48703608	8.566815154
R3HDM2	8.707013948	8.724513853	9.589838376	9.290710069	8.769837844	8.928962441	7.519636253	8.330916878	9.373082645
TAF7	9.12593001	7.923030298	8.946613905	7.95011843	8.923327485	8.884170519	8.858913471	8.702172685	8.951576139
PRKDC	8.205060111	6.92243574	6.787902559	7.338067798	6.525129251	6.472487771	7.354910512	7.780047576	6.623515741
UNKL	7.386293635	8.435878577	8.56567333	8.715618859	7.346070441	8.304237225	7.363696745	8.433376793	9.807032856
NF2	7.820178962	8.153298683	6.736063628	6.439623138	8.644577357	8.414896604	8.307883849	7.389738879	7.006746832
FANCE	9.215047571	8.809607374	9.141596278	9.369815424	9.010108453	8.631177056	8.042753761	8.48984796	9.578183968
EXOC4	7.393175914	8.035073997	8.387586566	8.361943774	7.558420713	7.967514481	7.686500527	8.057991723	7.836681593
CCDC82	8.807354922	6.701826258	6.465974465	5.666756592	7.031218731	7.961160258	8.063395081	7.756889855	5.799605422
NEURL4	7.63008507	8.420802382	7.080018029	7.854868383	7.525912261	7.597680144	7.473299871	7.692092375	7.100136671
LPXN	5.752213368	7.964052011	8.129283017	7.761551232	8.195249158	8.409815196	8.544964433	7.994919089	7.762880293
UPF1	7.64096791	7.791814071	5.850499414	6.5360529	8.326878855	7.513332824	8.478162893	8.349612972	7.057450272
AIMP1	8.315149562	9.067972078	8.491853096	9.137247341	8.289096702	8.357112092	7.806710718	7.836050355	8.48703608
SCAF11	6.323730338	7.661778098	6.318316841	6.089582893	6.057450272	7.574404309	7.321928095	8.029563314	5.532940288
VPS4B	7.710117632	7.027905997	5.048759312	3.5360529	8.447496547	8.133399125	8.099610812	8.082149041	4.336283388
MEF2D	8.126704473	9.865423978	8.217715411	9.569475902	8.645658432	8.717676423	8.404715827	7.254556252	8.143128073
HP1BP3	8.884781054	9.142107057	9.224001674	9.195741293	9.284939742	9.058803518	8.750204509	8.070389328	9.400025518
USP45	7.326429487	9.250535294	8.694880193	9.18611424	8.410663341	8.739443098	8.437544026	7.801546703	8.457380879
KIFAP3	6.710117632	7.053111336	9.043300754	7.760220946	6.752213368	8.204082012	8.442114122	8.046578367	7.4749227
PLRG1	6.697662633	6.880195729	6.867896464	7.253611152	7.218199944	6.414473836	6.956521363	7.029011087	7.501439145
CALCOCO2	6.978424465	8.284939742	6.924812504	8.466382409	7.496654083	6.847996907	7.338067798	8.307883849	7.76884596
RNF168	8.162391329	6.678071905	7.007868243	6.078951341	7.130313146	7.456149035	8.052568051	8.208965886	6.521992956
WNK1	8.539934245	7.897845456	8.213347282	7.899659026	9.004501392	8.486231678	7.974988112	8.366322214	8.718019065
AHDC1	7.89056829	8.171427027	8.235056863	8.845490051	8.17042585	7.675251386	7.75087444	8.133399125	8.671364147
TK1	8.376776572	7.829722735	8.799605422	8.379811544	7.918266959	8.338513555	7.968090752	7.932510053	8.401306206
RPL27A	7.404290064	6.665335917	7.880195729	6.849248703	6.669593751	7.500642736	6.914086097	6.345183447	6.915281866
TNRC6A	8.448322833	8.645658432	8.994353437	8.63481105	8.430452552	9.304009005	7.748863715	7.428778891	8.000563443
MYEF2	9.089318057	8.557655155	8.174925683	8.304693557	8.138015753	8.216745858	8.4325419	8.322378867	8.188836073
DNTTIP1	9.62388149	8.740455397	6.951867504	6.327328083	9.489647293	9.492454094	8.09434165	8.71630504	6.857980995
RIPOR2	8.268658955	8.806066226	8.393175914	9.124121312	7.978424465	8.036173613	8.389738879	7.118941073	8.294161219
