Gene,norm_19-A,norm_19-C,norm_1-1ug-B,norm_19-B,norm_1-B,norm_1-C,norm_1-1ug-C,norm_1-1ug-A,norm_1-A
RRP7A,8.543031820255237,8.693486957499324,8.475733430966399,8.546894459887637,8.603626344986193,8.527477006060396,8.51175265376738,8.499845887083206,8.434628227636725
KIF3A,8.60733031374961,8.758223214726724,8.693486957499324,8.566054038171092,8.588714635582264,8.330916878114618,8.554588851677638,8.761551232444479,8.599912842187127
PCID2,9.276124405274238,9.105908508571158,9.12670447284319,9.368506461507693,9.038918989292302,9.257387842692651,9.39231742277876,9.197216693110052,9.310612781659529
QDPR,8.257387842692651,8.361943773735241,8.357552004618084,8.233619676759702,8.413627929024173,8.238404739325079,8.252665432450248,8.361943773735241,8.179909090014934
CHTOP,8.294620748891628,8.321928094887362,8.417852514885897,8.164906926675688,8.339850002884624,8.169925001442312,8.383704292474052,8.174925682500678,8.271463027904375
POLE3,8.807354922057604,8.897845456005511,8.787902559391432,8.823367240046235,8.800899899920305,8.51175265376738,8.679480099505446,8.807354922057604,8.842350343413807
ABT1,8.734709620225837,8.761551232444479,8.696967526234287,8.668884984266247,8.76487159073609,8.611024797307353,8.78135971352466,8.599912842187127,8.710806433699352
SCAMP2,7.912889336229962,7.994353436858858,7.820178962415188,7.554588851677638,8.044394119358454,7.894817763307944,7.7615512324444795,7.78135971352466,7.700439718141092
MSI2,8.665335917185176,8.618385502258606,8.618385502258606,8.499845887083206,8.599912842187127,8.417852514885897,8.588714635582264,8.700439718141093,8.611024797307353
PAFAH1B3,8.426264754702098,8.550746785383243,8.475733430966399,8.475733430966399,8.599912842187127,8.257387842692651,8.543031820255237,8.50382573799575,8.459431618637296
NOL9,8.228818690495881,8.262094845370179,8.233619676759702,8.144658242831882,8.20945336562895,8.422064766172813,8.233619676759702,8.280770770130603,8.118941072723507
NDUFB5,8.741466986401146,8.92481250360578,8.954196310386875,8.89178370321831,8.861086905995395,8.915879378835774,9.076815597050832,8.787902559391432,8.873444112515376
CYBA,8.092757140919852,8.098032082960527,8.252665432450248,7.906890595608519,8.071462362556623,8.164906926675688,8.184875342908283,8.098032082960527,7.9886846867721655
SUGP1,8.276124405274238,8.430452551665532,8.219168520462162,8.224001674198105,8.39231742277876,8.262094845370179,8.164906926675688,8.233619676759702,8.118941072723507
SAR1B,5.930737337562887,5.9092930858238235,5.963474123974886,5.652486494918165,5.892391025913404,5.429615964201735,5.916476644437717,6.290940402403678,6.087462841250339
SMAD5,8.451211111832329,8.60733031374961,8.50382573799575,8.59618975614441,8.573647187493322,8.038918989292302,8.625708843064466,8.731319031025064,8.60733031374961
GLMN,7.467605550082998,7.523561956057013,7.577428828035749,7.672425341971495,7.693486957499325,7.303780748177103,7.599912842187128,7.6653359171851765,7.507794640198696
PURA,5.683696454306515,5.845490050944375,5.697662633470518,5.590961241342599,5.83035674741922,5.663913842115978,5.807354922057604,5.608809242675524,5.620586410451877
UBA5,8.179909090014934,8.214319120800766,8.271463027904375,8.280770770130603,8.194756854422248,8.169925001442312,8.312882955284355,8.339850002884624,8.271463027904375
AGAP2,7.475733430966398,7.523561956057013,7.467605550082998,7.348728154231077,7.614709844115208,7.066089190457772,7.491853096329675,7.577428828035749,7.451211111832329
TSG101,7.622051819456376,7.700439718141092,7.577428828035749,7.451211111832329,7.60733031374961,7.965784284662087,7.622051819456376,7.693486957499325,7.523561956057013
DGCR14,6.894817763307944,6.918863237274595,6.754887502163468,6.672425341971495,6.845490050944375,7.219168520462161,6.954196310386875,6.832890014164741,6.870364719583405
RCOR1,7.965784284662087,7.906890595608519,7.845490050944375,7.86418614465428,7.807354922057604,8.139551352398794,7.906890595608519,7.820178962415188,7.882643049361842
OAS2,8.92184093707449,8.83605035505807,8.83605035505807,8.791162888555018,8.876516946565,8.64745842645492,8.787902559391432,8.971543553950772,8.813781191217037
KANK2,8.071462362556623,8.022367813028454,7.876516946564999,7.98299357469431,8.118941072723507,7.434628227636725,7.7414669864011465,8.129283016944967,8.011227255423254
PRIM1,8.515699838284043,8.562242424221072,8.535275376620802,8.483815777264256,8.562242424221072,8.159871336778389,8.531381460516313,8.554588851677638,8.49585502688717
RWDD1,8.361943773735241,8.422064766172813,8.383704292474052,8.507794640198696,8.400879436282183,8.285402218862249,8.569855608330947,8.266786540694902,8.50382573799575
IRF3,7.918863237274595,7.78135971352466,7.954196310386875,7.888743248898259,7.924812503605781,7.734709620225838,7.839203788096944,7.894817763307944,7.870364719583405
