"","feature","sample","value","view"
"73","RP3-426I6.6","1% O2, CyA-",0,"Transcriptomics"
"74","RN7SL559P","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"75","RP5-1092A3.5","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"76","RP1-308E4.1","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"77","RNU11","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"78","RF02271","1% O2, CyA-",0,"Transcriptomics"
"79","RP11-467D18.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"80","MATN1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"81","SDC3","1% O2, CyA-",0,"Transcriptomics"
"82","RP11-73M7.10","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"83","FAM167B","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"84","RP11-395N6.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"85","KIAA1522","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"86","TMEM54","1% O2, CyA-",0,"Transcriptomics"
"87","RP4-803A2.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"88","RP11-415J8.5","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"89","RP11-244H3.5","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"90","RP11-244H3.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"91","RP4-665N4.8","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"92","MIR5581","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"93","DNALI1","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"94","FHL3","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"95","RP5-864K19.4","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"96","BMP8A","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"97","SNORA55","1% O2, CyA-",0.476753272409049,"Transcriptomics"
"98","RP1-144F13.4","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"99","RP1-118J21.25","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"100","RP1-118J21.28","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"101","RP11-115D7.3","1% O2, CyA-",0,"Transcriptomics"
"102","RP1-228H13.2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"103","RP11-656D10.6","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"104","KCNQ4","1% O2, CyA-",0,"Transcriptomics"
"105","RP11-223A3.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"106","RP11-163G10.2","1% O2, CyA-",0,"Transcriptomics"
